Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
,,,,,,,,
Nayuta.Fallen2-23,,(……この怪人は私が女性器で絶頂するごとに私から聖核エネルギーを吸収します…),(……この怪人は私が女性器で絶頂するごとに私から聖核エネルギーを吸収します…),（……這個怪人每當我女性生殖器高潮時，就會從我這裡吸收聖核能量…）,(...... this monster absorbs Seikaku energy from me every time I climax with my vagina...),(...This fiend absorbs my Holy Core Energy every time I climax with my female parts...),(……이 괴인은 제가 여성기로 절정할 때마다 저에게서 성핵 에너지를 흡수합니다…),（……这个怪人每当我女性生殖器高潮时，就会从我这里吸收圣核能量…）
,,,,,,,,
Nayuta.Fallen2-24,,(聖核エネルギーを吸収されないよう、どうにか口で処理してしのいでいますが…),(聖核エネルギーを吸収されないよう、どうにか口で処理してしのいでいますが…),（為了不讓聖核能量被吸收，我設法用口部處理來拖延…）,(I somehow manage to handle it with my mouth so that it doesn't absorb the Seikaku energy...),"(I'm somehow managing by handling it with my mouth to avoid having my Holy Core Energy absorbed, but...)","(성핵 에너지를 흡수당하지 않도록, 어떻게든 입으로 처리하며 버티고 있지만…)",（为了不让圣核能量被吸收，我设法用口部处理来拖延…）
,,,,,,,,
Nayuta.Fallen2-25,,「っ…、こんな雑魚怪人にっ、こんな屈辱的な事しかできないなんて…っ！」,「っ…、こんな雑魚怪人にっ、こんな屈辱的な事しかできないなんて…っ！」,「唔…我竟然只能對這種雜魚怪人做這種屈辱的事…！」,I can't believe I can only do such a humiliating thing to such a small fry monster!,"""To think I can only do such humiliating things against such a weak fiend...!""","「윽…, 이런 잡몹 괴인에게, 이런 굴욕적인 짓밖에 할 수 없다니…윽!」",「唔…，我竟然只能对这种杂鱼怪人做这种屈辱的事…！」
,,,,,,,,
Nayuta.Fallen2-26,,「しかし所詮は知能も低い雑魚…エネルギーが溜まって変身したら一瞬で細切れにします！」,「しかし所詮は知能も低い雑魚…エネルギーが溜まって変身したら一瞬で細切れにします！」,「但牠終究是智力低下的雜魚…等能量積蓄變身後，我會瞬間將牠碎屍萬段！」,"But it is only a small fish with low intelligence...when it builds up energy and transforms, it will shred you in an instant!""","""But it's just a low-intelligence weakling after all... Once I gather energy and transform, I'll shred it in an instant!""",「하지만 어차피 지능도 낮은 잡몹… 에너지가 모여 변신하면 단숨에 갈기갈기 찢어버리겠습니다!」,「但牠终究是智力低下的杂鱼…等能量积蓄变身后，我会瞬间将牠碎尸万段！」
,,,,,,,,
Nayuta.Fallen2-27,Nayuta darkness 2-5,「ギャッ♪ギャッ♪ギャギャ！」,「ギャッ♪ギャッ♪ギャギャ！」,「嘎♪嘎♪嘎嘎！」,♪ Gah ♪ ♪ Gah ♪ ♪ Gah ♪ ♪ Gah ♪ ♪ Gah ♪ ♪ Gah ♪,"""Gya♪ Gya♪ Gyagya!""",「갹♪갹♪갸갸!」,「嘎♪嘎♪嘎嘎！」
,,,,,,,,
Nayuta.Fallen2-28,,突然、ゴブリンが那由多の膣内に腕を突っ込み子宮を刺激する,突然、ゴブリンが那由多の膣内に腕を突っ込み子宮を刺激する,突然，哥布林將手臂伸進那由多的陰道內，刺激她的子宮。,"Suddenly, the goblin thrusts his arm into Nayuta's vagina and stimulates her uterus","Suddenly, the goblin thrust its arm into Nayuta's vagina and stimulated her womb.","갑자기, 고블린이 나유타의 질 내에 팔을 쑤셔 넣어 자궁을 자극한다",突然，哥布林将手臂伸进那由多的阴道内，刺激她的子宫。
,,,,,,,,
Nayuta.Fallen2-29,那由多,「ひぐっ！？、こ、このっ！」,「ひぐっ！？、こ、このっ！」,「呀！？這、這個傢伙！」,"""Higg! Ko, ko, ko!""","""Hggggg!? Y-you!""","「히끅!?, 이, 이놈!」",「呀！？这、这个家伙！」
,,,,,,,,
Nayuta.Fallen2-30,,「下を弄られるのはまずいですね…っ！、何とか興味を逸らさないとっ！」,「下を弄られるのはまずいですね…っ！、何とか興味を逸らさないとっ！」,「被玩弄下面很不妙…唔！必須想辦法轉移牠的注意力！」,"I'm not supposed to be playing with my bottom...! I have to distract them somehow!""","""Having my crotch played with is bad...! I need to divert its attention somehow!""","「아래를 희롱당하는 것은 좋지 않습니다…윽!, 어떻게든 관심을 돌려야…!」",「被玩弄下面很不妙…唔！必须想办法转移牠的注意力！」
,,,,,,,,
Nayuta.Fallen2-31,,那由多は舌をを突き出し、フェラの素振りをする,那由多は舌をを突き出し、フェラの素振りをする,那由多伸出舌頭，做出口交的樣子。,Nayuta sticks out her tongue and pretends to suck,Nayuta stuck out her tongue and made fellatio gestures.,"나유타는 혀를 내밀어, 펠라하는 시늉을 한다",那由多伸出舌头，做出口交的样子。
,,,,,,,,
Nayuta.Fallen2-32,那由多,「れろっ、んっ♥、こっちで抜いてあげますからっ！れろっ♥」,「れろっ、んっ♥、こっちで抜いてあげますからっ！れろっ♥」,「咧囉、嗯♥，我會用這裡幫你射出來的♥！咧囉♥」,I'll pull it out this way! Rerotsu!,"""Lick, nn♥ I'll get you off with this instead! Lick♥""","「레롯, 응읏♥, 이쪽으로 빼드릴 테니! 레롯♥」",「咧啰、嗯♥，我会用这里帮你射出来的♥！咧啰♥」
,,,,,,,,
Nayuta.Fallen2-33,ゴブリン型怪人,「ギャギャ？」,「ギャギャ？」,「嘎嘎？」,"""Gah―gah?""","""Gyagya?""",「갸갸?」,「嘎嘎？」
,,,,,,,,
Nayuta.Fallen2-34,那由多,(～～～っ、この私がこんな屈辱的な事をっ、しかし仕方ありませんっ！脱出するためですっ！),(～～～っ、この私がこんな屈辱的な事をっ、しかし仕方ありませんっ！脱出するためですっ！),（～～～唔，我竟然做出這麼屈辱的事♥，但是沒辦法！這是為了逃脫！）,"(~~~~, this is such a humiliating thing for me to do, but I have no choice! To escape!)",(For me to do such humiliating things... But I have no choice! It's for my escape!),"(~~~윽, 이 내가 이런 굴욕적인 짓을, 하지만 어쩔 수 없습니다! 탈출하기 위해서입니다!)",（～～～唔，我竟然做出这么屈辱的事♥，但是没办法！这是为了逃脱！）
,,,,,,,,
Nayuta.Fallen2-35,,「ほらっ♥、れろっ♥、こっちの方がっ♥、気持ちいいれすよっ♥、れろっ♥！」,「ほらっ♥、れろっ♥、こっちの方がっ♥、気持ちいいれすよっ♥、れろっ♥！」,「快點♥，咧囉♥，這裡會更♥，舒服喔♥，咧囉♥！」,"""Here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here, here!""","""Come on♥ Lick♥ This feels♥ much better♥ Lick♥!""","「자♥, 레롯♥, 이쪽이♥, 더 기분 좋아요♥, 레롯♥!」",「快点♥，咧啰♥，这里会更♥，舒服喔♥，咧啰♥！」
,,,,,,,,
Nayuta.Fallen2-36,ゴブリン型怪人,「ギャッギャッ？！ギャギャギャwww」,「ギャッギャッ？！ギャギャギャwww」,「嘎嘎？！嘎嘎嘎www」,"Gah―gah?"" Gah―gah―www!""","""Gyagya?! Gyagyagya www""",「갹갹?! 갸갸갸ㅋㅋㅋ」,「嘎嘎？！嘎嘎嘎www」
,,,,,,,,
Nayuta.Fallen2-37,,怪人は那由多の様子を見て腹を抱えて笑う,怪人は那由多の様子を見て腹を抱えて笑う,怪人看到那由多的樣子，抱著肚子大笑。,The monster looks at Nayuta and laughs in his belly.,The fiend held its belly and laughed at Nayuta's behavior.,괴인은 나유타의 모습을 보고 배를 잡고 웃는다,怪人看到那由多的样子，抱着肚子大笑。
,,,,,,,,
Nayuta.Fallen2-38,那由多,「つっ！？、このっ、馬鹿にしてっ！」,「つっ！？、このっ、馬鹿にしてっ！」,「唔！？你、你這個笨蛋，竟然嘲笑我！」,What? You idiot!,"""Tch!? You're mocking me!""","「윽!?, 이놈, 바보 취급을!」",「唔！？你、你这个笨蛋，竟然嘲笑我！」
,,,,,,,,
Nayuta.Fallen2-39,ゴブリン型怪人,「ギャギャッ…」,「ギャギャッ…」,「嘎嘎…」,"""Gah gah...""","""Gyagya...""",「갸갸윽…」,「嘎嘎…」
,,,,,,,,
Nayuta.Fallen2-40,,突然ゴブリン型怪人が部屋から出て行く,突然ゴブリン型怪人が部屋から出て行く,突然，哥布林型怪人走出了房間。,Suddenly a goblin―type monster leaves the room.,"Suddenly, the goblin fiend left the room.",갑자기 고블린형 괴인이 방에서 나간다,突然，哥布林型怪人走出了房间。
,,,,,,,,
Nayuta.Fallen2-41,那由多,「なっ？……いきなり何を…」,「なっ？……いきなり何を…」,「什麼？……突然怎麼了…」,"What? ...... what are you suddenly...""","""What? Why...""",「앗?……갑자기 무엇을…」,「什么？……突然怎么了…」
,Nayuta darkness 2-8,,,,,,,
Nayuta.Fallen2-42,ゴブリン型怪人,「ギャギャ！」,「ギャギャ！」,「嘎嘎！」,"Gah―gah!""","""Gyagya!""",「갸갸!」,「嘎嘎！」
,,,,,,,,
Nayuta.Fallen2-43,那由多,「っ……！それは私の刀っ！あなたが勝手に触っていいようなものではありませんっ！」,「っ……！それは私の刀っ！あなたが勝手に触っていいようなものではありませんっ！」,「唔……！那是我的刀！不是你可以隨便亂碰的東西！」,You can find it at ......! That's my sword! It is not something you are allowed to touch without permission!,"""...! That's my sword! That's not something you can just touch!""",「윽……! 그것은 나의 검! 당신이 함부로 만져도 되는 물건이 아닙니다!」,「唔……！那是我的刀！不是你可以随便乱碰的东西！」
,,,,,,,,
Nayuta.Fallen2-44,ゴブリン型怪人,「ギャギャ……ギャ！」,「ギャギャ……ギャ！」,「嘎嘎……嘎！」,"""Gah gah ...... gah!""","""Gyagya... Gya!""",「갸갸……갹!」,「嘎嘎……嘎！」
,,,,,,,,
Nayuta.Fallen2-45,,怪人は刀を握り、両側に力をこめる,怪人は刀を握り、両側に力をこめる,怪人握住刀，向兩側施力。,The monster grips his sword and strains on both sides.,The fiend gripped the sword and applied force from both sides.,"괴인은 검을 잡고, 양쪽에 힘을 준다",怪人握住刀，向两侧施力。
,,,,,,,,
Nayuta.Fallen2-46,那由多,「なっ、何をするつもりですか！？、やめなさい！」,「なっ、何をするつもりですか！？、やめなさい！」,「妳想做什麼！？住手！」,What are you doing? Stop it!,"""What are you doing?! Stop it!""","「앗, 뭘 할 셈입니까!?, 그만두세요!」",「你想做什么！？住手！」
,,,,,,,,
Nayuta.Fallen2-47,,「その刀は家系に代々伝わって来たもの…！私の聖核戦姫の誇りでっ―――――」,「その刀は家系に代々伝わって来たもの…！私の聖核戦姫の誇りでっ―――――」,「這把刀是代代相傳的家傳之寶…！是我聖核戰姫的驕傲―――――」,"The sword has been in my family for generations! It is the pride of my Holy Core Battlemaiden. ―――――""","""That sword has been passed down through my family for generations...! It's my pride as a Holy Core Battlemaiden...""",「그 검은 집안 대대로 전해져 내려온 것…! 나의 성핵전희로서의 긍지인데―――――」,「这把刀是代代相传的家传之宝…！是我圣核战姫的骄傲―――――」
,,,,,,,,
Nayuta.Fallen2-48,Nayuta darkness 2-9,バキッ！！,バキッ！！,喀嚓！！,Baki!,Crack!,빠각!!,喀嚓！！
,,,,,,,,
Nayuta.Fallen2-49,那由多,「―――――なっ！！」,「―――――なっ！！」,「―――――什麼！！」,"""―――――!!!!""","""...What?!""",「―――――앗!!」,「―――――什么！！」
,,,,,,,,
Nayuta.Fallen2-50,ゴブリン型怪人,「ギャッ♪　ギャッ♪」,「ギャッ♪　ギャッ♪」,「嘎♪　嘎♪」,♪ Gah ♪ ♪ Gah ♪,"""Gya♪ Gya♪""",「갹♪　갹♪」,「嘎♪　嘎♪」
,,,,,,,,
Nayuta.Fallen2-51,那由多,「―――――よくも私の刀をっ！絶対に許さなひぐッっッ！？！」,「―――――よくも私の刀をっ！絶対に許さなひぐッっッ！？！」,「―――――你竟然弄壞我的刀！我絕不原諒你呀呀！！！」,I'll never allow you to use my sword! I will never forgive you!,"""...How dare you break my sword! I'll never forgive you... Hnnngggg!""",「―――――잘도 나의 검을! 절대로 용서 못… 히끅윽윽!?」,「―――――你竟然弄坏我的刀！我绝不原谅你呀呀！！！」
,,,,,,,,
Nayuta.Fallen2-52,Nayuta darkness 2-10,那由多の膣内に刀の持ち手が突っ込まれる,那由多の膣内に刀の持ち手が突っ込まれる,刀的握柄被捅進那由多的陰道內。,The handle of the sword is plunged into Nayuta's vagina,The sword's handle was thrust into Nayuta's vagina.,나유타의 질 내에 검의 손잡이가 쑤셔 박힌다,刀的握柄被捅进那由多的阴道内。
,,,,,,,,
Nayuta.Fallen2-53,ゴブリン型怪人,「ギャッ、ギャッ！」,「ギャッ、ギャッ！」,「嘎、嘎！」,"Gah, gah!""","""Gya, gya!""","「갹, 갹!」",「嘎、嘎！」
,,,,,,,,
Nayuta.Fallen2-54,那由多,「お゛お゛っ！？、お゛おっ♥」,「お゛お゛っ！？、お゛おっ♥」,「喔喔！？喔喔♥」,"""Oh―oh―oh! Oh, oh, oh ♥""","""Oooh!? Ooh♥""","「오옷!?, 오옷♥」",「喔喔！？喔喔♥」
,,,,,,,,
Nayuta.Fallen2-55,,ズボッ、ズボッ、グチュッ！,ズボッ、ズボッ、グチュッ！,噗通、噗通、咕啾！,"Zubotsu, zubotsu, guchu!","Thrust, thrust, squelch!","즈봇, 즈봇, 구츄욱!",噗通、噗通、咕啾！
,,,,,,,,
Nayuta.Fallen2-56,那由多,「ひぎっ、この刀はっ、私の誇りなのにッ！、こんなっ！」,「ひぎっ、この刀はっ、私の誇りなのにッ！、こんなっ！」,「呀，這把刀是…我的驕傲！竟然變成這樣！」,I'm so proud of this sword! Don't you dare!,"""Hgggg, this sword is my pride! How could you!""","「히끅, 이 검은, 나의 긍지인데! 이런!」",「呀，这把刀是、我的骄傲！竟然变成这样！」
,,,,,,,,
Nayuta.Fallen2-57,,その時、怪人が言葉を発する,その時、怪人が言葉を発する,這時，怪人開口說話了。,"At that moment, the monster utters the words","At that moment, the fiend spoke.","그때, 괴인이 말을 했다",这时，怪人开口说话了。
,,,,,,,,
Nayuta.Fallen2-58,ゴブリン型怪人,「ギャギャッ！オマエ、バカッ！」,「ギャギャッ！オマエ、バカッ！」,「嘎嘎！妳、笨蛋！」,"""Gah, gah, gah! You idiot!""","""Gyagya! You, stupid!""","「갸갸! 너, 바보!」",「嘎嘎！你、笨蛋！」
,,,,,,,,
Nayuta.Fallen2-59,那由多,「ん゛ん゛っ♥、お゛！？コイツッ、な、なんで喋ってっ！」,「ん゛ん゛っ♥、お゛！？コイツッ、な、なんで喋ってっ！」,「嗯嗯♥，喔！？這傢伙，怎、怎麼會說話！」,"""D―d―d―d―d―d―d―d―d―d―d―d! He's talking, why is he talking?","""Mmm♥ Oh!? This thing, w-why is it talking!""","「응옷 응옷 윽♥, 오옷!? 이놈, 왜 말을!」",「嗯嗯♥、喔！？这家伙、怎、怎么会说话！」
,,,,,,,,
Nayuta.Fallen2-60,ゴブリン型怪人,「ニゲル、ツモリ、バレバレダッタ！」,「ニゲル、ツモリ、バレバレダッタ！」,「想逃跑，早就被識破了！」,"Nigel, tsumori, vare vare datta!""","""Run away, plan, totally obvious!""","「도망칠, 생각, 다 들켰다!」",「想逃跑，早就被识破了！」
,,,,,,,,
Nayuta.Fallen2-61,那由多,「なっ！…、そんなっ♥、お゛ほ゛っ♥！」,「なっ！…、そんなっ♥、お゛ほ゛っ♥！」,「什麼！…怎麼會♥，喔吼♥！」,"""Nah! ...oh, my God!","""What! No way♥ Ohoh♥""","「앗!…, 그럴, 오홋♥!」",「什么！…，怎么会♥，喔吼♥！」
,,,,,,,,
Nayuta.Fallen2-62,ゴブリン型怪人,「チンポ、ワザト、クチニ、イレテヤッタ！」,「チンポ、ワザト、クチニ、イレテヤッタ！」,「陰莖，故意讓妳吸的！」,"""Dick, wazato, kuchi ni irette yatta!""","""Dick, on purpose, in mouth, I put!""","「자지, 일부러, 입에, 넣어줬다!」",「阴茎，故意让你吸的！」
,,,,,,,,
Nayuta.Fallen2-63,那由多,「ひぎっ♥、そんなっ♥、私、コイツに遊ばれてたっ？！ひぐっ♥」,「ひぎっ♥、そんなっ♥、私、コイツに遊ばれてたっ？！ひぐっ♥」,「呀♥，怎麼會♥，我被這傢伙耍了？！呀♥」,I was playing with this guy? I'm so sorry.,"""Hgggg♥ No way♥ I was being toyed with by this thing!? Hgggg♥""","「히끅♥, 그런♥, 나, 이놈에게 놀아나고 있었나?! 히끅♥」",「呀♥，怎么会♥，我被这家伙耍了？！呀♥」
,,,,,,,,
Nayuta.Fallen2-64,,怪人は激しく刀を出し入れし、持ち手の凹凸が那由多の膣内をこすり上げる,怪人は激しく刀を出し入れし、持ち手の凹凸が那由多の膣内をこすり上げる,怪人猛烈地將刀抽出又捅入，握柄上的凹凸摩擦著那由多的陰道內部。,"The monster violently moves the sword in and out, the unevenness of the handle rubbing up against Nayuta's vagina.","The fiend violently thrust the handle in and out, its ridges scraping inside Nayuta's vagina.","괴인은 격렬하게 검을 넣고 빼며, 손잡이의 울퉁불퉁함이 나유타의 질 내부를 긁어 올린다",怪人猛烈地将刀抽出又捅入，握柄上的凹凸摩擦着那由多的阴道内部。
,,,,,,,,
Nayuta.Fallen2-65,ゴブリン型怪人,「ギャギャ！サアイケッ！イケッ！」,「ギャギャ！サアイケッ！イケッ！」,「嘎嘎！快高潮！高潮！」,"Gya gya! Saai kekk! Yikes!""","""Gyagya! Now come! Come!""",「갸갸! 자 가라! 가라!」,「嘎嘎！快高潮！高潮！」
,,,,,,,,
Nayuta.Fallen2-66,那由多,「ひぎっ♥、お゛お゛っ♥」,「ひぎっ♥、お゛お゛っ♥」,「呀♥、喔喔♥」,"""HIGH ♥, OHHHH ♥.""","""Hgggggiii♥ Oooh♥""","「히끅♥, 오옷 오옷 옷♥」",「呀♥、喔喔♥」
,Nayuta darkness 2-12,,,,,,,
Nayuta.Fallen2-67,,プシュッ、プシュッ、プシャアアアアッ！,プシュッ、プシュッ、プシャアアアアッ！,噗咻、噗咻、噗夏啊啊啊啊！,"Push, push, pushaaaah!","Squirt, squirt, gushhh!","푸슛, 푸슛, 푸샤아아아앗!",噗咻、噗咻、噗夏啊啊啊啊！
,,,,,,,,
Nayuta.Fallen2-68,ゴブリン型怪人,「ギャッ！ギャッ！ブザマッ！ブザマッ！」,「ギャッ！ギャッ！ブザマッ！ブザマッ！」,「嘎！嘎！丟臉！丟臉！」,"Gah! Gah! Buzamat! Buzammah!""","""Gya! Gya! Pathetic! Pathetic!""",「갹! 갹! 꼴사납다! 꼴사납다!」,「嘎！嘎！丢脸！丢脸！」
,,,,,,,,
Nayuta.Fallen2-69,那由多,「お゛お゛っ♥……お゛っ♥…」,「お゛お゛っ♥……お゛っ♥…」,「喔喔♥……喔♥…」,"""Oooooooh ♥...... oooooh ♥...""","""Oooh♥... Oh♥...""",「오옷 오옷 옷♥…… 오옷 옷♥…」,「喔喔♥……喔♥…」
,Nayuta darkness 2-4,,,,,,,
Nayuta.Fallen2-70,那由多,「―――――っ！、一体どれだけ私に辱めをっ！絶対に許せませんッ！」,「―――――っ！、一体どれだけ私に辱めをっ！絶対に許せませんッ！」,「―――――唔！你到底想給我多少羞辱！我絕不饒恕你！」,"I've been on the receiving end of a lot of ""―――――. How many times have you humiliated me? I will never forgive you!","""...! How much more will you humiliate me! I absolutely cannot forgive this!""","「―――――윽!, 대체 얼마나 나를 모욕해야! 절대로 용서할 수 없습니다!」",「―――――唔！，你到底想给我多少羞辱！我绝不饶恕你！」
,,,,,,,,
Nayuta.Fallen2-71,ゴブリン型怪人,「ギャギャ♪　ムリッ！オマエ、モウオシマイ！」,「ギャギャ♪　ムリッ！オマエ、モウオシマイ！」,「嘎嘎♪　不行！妳，已經完蛋了！」,"""Gah, gah, mr! You, moooshimai!""","""Gyagya♪ Impossible! You, already finished!""","「갸갸♪　무리! 너, 이제 끝이다!」",「嘎嘎♪　不行！你，已经完蛋了！」
,,,,,,,,
Nayuta.Fallen2-72,那由多,「っ、私は最強の聖核戦姫です！あなたになどに負け―――――ん゛お゛っ♥！」,「っ、私は最強の聖核戦姫です！あなたになどに負け―――――ん゛お゛っ♥！」,「唔，我是最強的聖核戰姫！我才不會輸給你這種―――――嗯喔♥！」,I am the most powerful Holy Core Battlemaiden! You can't beat me!,"""I am the strongest Holy Core Battlemaiden! I won't lose to someone like... Nnnoooh♥!""","「윽, 나는 최강의 성핵전희입니다! 당신 따위에게 질 리가―――――응옷 오옷 옷♥!」",「唔，我是最强的圣核战姫！我才不会输给你这种―――――嗯喔♥！」
,Nayuta darkness 2-14,,,,,,,
Nayuta.Fallen2-73,,パンッ、パンッ、パンッ、パンッ！,パンッ、パンッ、パンッ、パンッ！,啪、啪、啪、啪！,"Pang, pang, pang, pang!",Slap... Slap... Slap...,"팡앙, 팡앙, 팡앙, 팡앙!",啪、啪、啪、啪！
,,,,,,,,
Nayuta.Fallen2-74,,怪人は那由多に飛びつき、腰を振り始める,怪人は那由多に飛びつき、腰を振り始める,怪人跳到那由多身上，開始擺動腰部。,The monster jumps on Nayuta and starts shaking his hips,The fiend jumped on Nayuta and began thrusting its hips.,"괴인은 나유타에게 달려들어, 허리를 흔들기 시작한다",怪人跳到那由多身上，开始摆动腰部。
,,,,,,,,
Nayuta.Fallen2-75,ゴブリン型怪人,「ギャギャッ！ココニ、エネルギー、アルノ、ワカッテル！」,「ギャギャッ！ココニ、エネルギー、アルノ、ワカッテル！」,「嘎嘎！這裡，有能量，我知道！」,"""Gah, gah, gah! I've got energy in here, I know it!""","""Gyagya! Here, energy, exists, I know!""","「갸갸악! 여기에, 에너지, 있는 거, 안다!」",「嘎嘎！这里，有能量，我知道！」
,,,,,,,,
Nayuta.Fallen2-76,那由多,「ひぐうっ♥、そんなっ♥、待ってっ♥！」,「ひぐうっ♥、そんなっ♥、待ってっ♥！」,「呀嗚♥，怎麼會♥，等一下♥！」,"""Hi―guh, oh, no, wait!","""Hgggguuh♥ No♥ Wait♥""","「히끅윽♥, 그런♥, 기다려♥!」",「呀呜♥，怎么会♥，等一下♥！」
,,,,,,,,
Nayuta.Fallen2-77,那由多,(いえ―――、こんな時こそ落ち着きなさいっ！),(いえ―――、こんな時こそ落ち着きなさいっ！),（不―――越是這種時候越要冷靜！）,"(No―――, this is the time to calm down!)","(No, stay calm at a time like this!)","(아뇨―――, 이럴 때일수록 침착하세요!)",（不―――，越是这种时候越要冷静！）
,,,,,,,,
Nayuta.Fallen2-78,,(あと少しで変身するだけのエネルギーがたまります！),(あと少しで変身するだけのエネルギーがたまります！),（再一點點就能儲存到可以變身的能量了！）,(Just a few more minutes and you'll have enough energy to transform!),(Just a little more and I'll have enough energy to transform!),(조금만 더 있으면 변신할 만큼의 에너지가 모입니다!),（再一点点就能储存到可以变身的能量了！）
,,,,,,,,
Nayuta.Fallen2-79,,(後少し！私が絶頂しなければいいだけの事っ！こんなチンポなんかにっ！私は―――),(後少し！私が絶頂しなければいいだけの事っ！こんなチンポなんかにっ！私は―――),（再一點點！只要我不高潮就行了！對這種陰莖！我才不會―――――）,(Almost there! All I have to do is not climax! I'm not going to let this cock do this to me! I'm gonna...),(Just a little more! I just need to not climax! This cock...! I...),(조금만 더! 제가 절정하지만 않으면 되는 것! 이런 자지 따위에게! 나는―――),（再一点点！只要我不高潮就行了！对这种阴茎！我才不会―――――）
,,,,,,,,
Nayuta.Fallen2-80,,パンッ、パンッ、パンッ、パンッ！,パンッ、パンッ、パンッ、パンッ！,啪、啪、啪、啪！,"Pang, pang, pang, pang!",Slap... Slap... Slap...,"팡앙, 팡앙, 팡앙, 팡앙!",啪、啪、啪、啪！
,,,,,,,,
Nayuta.Fallen2-81,那由多,「くうううっ♥、ぐうっ♥、耐えっ…ます！」,「くうううっ♥、ぐうっ♥、耐えっ…ます！」,「嗚嗚嗚♥、唔♥、我會忍耐…的！」,"""Kuuuuu♥♥, gghhh, I'll endure...sir!""","""Kuuuh♥ Guuh♥ I'll... endure!""","「크으으으윽♥, 끄윽♥, 참…겠어요!」",「呜呜呜♥、唔♥、我会忍耐…的！」
,,,,,,,,
Nayuta.Fallen2-82,ゴブリン型怪人,「ギャギャッ、ワルアガキッ！バカダナ！」,「ギャギャッ、ムイミナテイコウッ！バカダナ！」,「嘎嘎、無意義的抵抗！笨蛋！」,"Gah gah gah, badass kid! Stupid kid!""","""Gyagya, meaningless resistance! Stupid!""","「갸갸악, 무의미한 저항! 바보구나!」",「嘎嘎、无意义的抵抗！笨蛋！」
,,,,,,,,
Nayuta.Fallen2-83,那由多,「お゛お゛っ♥、私にはっ！全ての聖核戦姫の命運がかかっているのですっ！」,「お゛お゛っ♥、私にはっ！全ての聖核戦姫の命運がかかっているのですっ！」,「喔喔♥，我的身上！承載著所有聖核戰姫的命運！」,"""Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh! The fate of all the Holy Core Battlemaidenes depends on me!""","""Oooh♥ The fate of all Holy Core Battlemaidens depends on me!""","「오옷 오옷 옷♥, 나에게는! 모든 성핵전희의 운명이 걸려 있습니다!」",「喔喔♥，我的身上！承载着所有圣核战姫的命运！」
,,,,,,,,
Nayuta.Fallen2-84,,パンッ、パンッ、パンッ、パンッ！,パンッ、パンッ、パンッ、パンッ！,啪、啪、啪、啪！,"Pang, pang, pang, pang!",Slap... Slap... Slap...,"팡앙, 팡앙, 팡앙, 팡앙!",啪、啪、啪、啪！
,,,,,,,,
Nayuta.Fallen2-85,那由多,「ひぎっっ♥、私はっ、最強の聖核戦姫ですっ！こんなチンポなんかに！」,「ひぎっっ♥、私はっ、最強の聖核戦姫ですっ！こんなチンポなんかに！」,「呀♥♥，我是，最強的聖核戰姫！對這種陰莖！」,I am the strongest Holy Core Battlemaiden! I'm the most powerful Holy Core Battlemaiden!,"""Hggggg♥ I am the strongest Holy Core Battlemaiden! This cock!""","「히끅윽♥, 나는! 최강의 성핵전희입니다! 이런 자지 따위에게!」",「呀♥♥，我是、最强的圣核战姫！对这种阴茎！」
,,,,,,,,
Nayuta.Fallen2-86,ゴブリン型怪人,「ギャギャッ！ムダダッ！セイエキダシテヤル！サアイケッ！」,「ギャギャッ！ムダダッ！セイエキダシテヤル！サアイケッ！」,「嘎嘎！沒用！射精給妳！快高潮！」,"Gah gah gah! Muda―da―da―da! Sayekidashiteyaru! Saai kekk!""","""Gyagya! Useless! I'm going to unleash my load! Now come!""",「갸갸악! 소용없다! 정액 내주마! 자 가라!」,「嘎嘎！没用！射精给你！快高潮！」
,,,,,,,,
Nayuta.Fallen2-87,那由多,「ひぎいっ♥、全ての聖核戦姫のためにっ！私はっ、チンポなんかに、負けな―――――」,「ひぎいっ♥、全ての聖核戦姫のためにっ！私はっ、チンポなんかに、負けな―――――」,「呀噫♥，為了所有聖核戰姫！我才不會，輸給陰莖―――――」,I'm not going to be defeated by a cock! I will not be defeated by a cock. ―――――,"""Higii♥ For all the Holy Core Battlemaidens! I won't lose to a dick...""","「히기잇♥, 모든 성핵전희를 위해! 나는, 자지 따위에, 지지 않―――――」",「呀噫♥，为了所有圣核战姫！我才不会、输给阴茎―――――」
,,,,,,,,
Nayuta.Fallen2-88,Nayuta darkness 2-15,ドビュルルルッルルッ！ビュルッ、ドビュルルルッ！！！,ドビュルルルッルルッ！ビュルッ、ドビュルルルッ！！！,咚咻嚕嚕嚕嚕！咻嚕、咚咻嚕嚕嚕！！！, Burrrrrrrrrrrrrrrrrrrrrrrrrrrrr!,"Splurt! Spurt, Splurt!","도뷰르르르릇르릇! 뷰릇, 도뷰르르르릇!!!",咚咻噜噜噜噜！咻噜、咚咻噜噜噜！！！
,,,,,,,,
