Key,Comment,Japanese,Japanese_Steam,English,Traditional Chinese_Steam,Traditional Chinese,Simplified Chinese,English_Steam,Korean_Steam,Simplified Chinese_Steam
,,,,,,,,,,
,暗転,,,,,,,,,
,Hisui story DLC 3-12,,,,,,,,,
Hisui.Fallen2-11,ヒスイ,「…はあっ♥…はあっ♥」,「…はあっ♥…はあっ♥」,,「……哈啊♥…哈啊♥」,「…呼♥…呼♥」,,"""...Haah♥... Haah♥""",「…하앗♥…하앗♥」,「……哈啊♥…哈啊♥」
,,,,,,,,,,
Hisui.Fallen2-12,男戦闘員,「いや～全くいい仕事だぜ…毎日のように新しい洗脳された女共がチンポしゃぶってくれるんだからな！」,「いや～全くいい仕事だぜ…毎日のように新しい教育された女共がチンポしゃぶってくれるんだからな！」,,「哎呀～真是好工作啊…每天都有新的被教育的女人來幫忙口交！」,「哎呀～真是好工作啊…每天都有新的被洗腦的女孩來幫我口交！」,,"""Man, this is a great job... Every day newly re-educated women suck on us!""",「이야~ 정말 좋은 일이야… 매일같이 새로운 세뇌된 여자들이 자지 빨아주니까!」,「哎呀～真是好工作啊…每天都有新的被教育的女人来帮忙口交！」
,,,,,,,,,,
Hisui.Fallen2-13,,「え～と次はK46号か。ほら、しゃぶってみろ！」,「え～と次はK46号か。ほら、しゃぶってみろ！」,,「呃～下一個是K46號吧。喂，試著吸吮看看！」,「嗯～接下來是K46號了。來，試著舔一下！」,,"""Let's see, next is K46. Come on, blow me!""","「음~ 다음은 K46호인가. 자, 빨아봐!」",「呃～下一个是K46号吧。喂，试着吸吮看看！」
,,,,,,,,,,
Hisui.Fallen2-14,ヒスイ,「キィーーーーーーッ！」,「キィーーーーーーッ！」,,「嘰────────！」,「咦——！」,,"""Kiiii!""",「키이ーーーーーー잇!」,「吱────────！」
,,,,,,,,,,
Hisui.Fallen2-15,,(ち、違うっ……私は…K46号なんかじゃ……ないっ♥),(ち、違うっ……私は…K46号なんかじゃ……ないっ♥),,（不、不對……我…不是什麼K46號……♥）,(不、不對……我是…不是K46號那種人……♥),,(N-no... I'm not... K46...♥),"(아, 아니야…… 나는… K46호 따위가…… 아니야♥)",（不、不对……我…不是什么K46号……♥）
,,,,,,,,,,
Hisui.Fallen2-16,,(でもっ……ばれないように…また…おちんぽっ……フェラしないと…♥),(でもっ……ばれないように…また…おちんぽっ……フェラしないと…♥),,（但是……為了不被發現…又要…陰莖……口交了…♥）,(但是……為了不被發現…再次…要給陽具……口交才行…♥),,(But... to avoid being discovered... I have to... suck on cocks again...♥),(하지만…… 들키지 않도록… 또… 자지…… 펠라해야 해…♥),（但是……为了不被发现…又要…阴茎……口交了…♥）
,,,,,,,,,,
Hisui.Fallen2-17,,(だから……これが……私の……やらなきゃいけないこと……♥),(だから……これが……私の……やらなきゃいけないこと……♥),,（所以……這就是……我的……該做的事……♥）,(所以……這就是……我……必須做的事情……♥),,(So... this is... what I have to do...♥),(그러니까…… 이것이…… 나의…… 해야 할 일……♥),（所以……这就是……我的……该做的事……♥）
,,,,,,,,,,
Hisui.Fallen2-18,,そしてヒスイは目の前のチンポへしゃぶりつく。,そしてヒスイは目の前のチンポへしゃぶりつく。,,於是翡翠猛地吸吮眼前的陰莖。,然後翡翠開始舔舐眼前的陽具。,,And so Hisui began sucking on the cock in front of her.,그리고 히스이는 눈앞의 자지에 달라붙는다.,于是翡翠猛地吸吮眼前的阴茎。
,,,,,,,,,,
Hisui.Fallen2-19,ヒスイ,ジュルルルッ…♥ジュポッ！！,ジュルルルッ…♥ジュポッ！！,,啾嚕嚕嚕…♥啾啵！！,滴滴滴……♥ 噗嗤！！,,Slurp...♥ Suck!!,쥬르르르릇…♥ 쥬폿!!,啾噜噜噜…♥啾啵！！
,,,,,,,,,,
Hisui.Fallen2-20,,「～～～～ッ♥♥♥！？！？」,「～～～～ッ♥♥♥！？！？」,,「～～～～♥♥♥！？！？」,「～～～～滴♥♥♥！？！？」,,"""...♥♥♥?!?!""",「~~~~윽♥♥♥!?!?」,「～～～～♥♥♥！？！？」
,,,,,,,,,,
Hisui.Fallen2-21,,(これがっ……戦闘員の…おちんぽっ…♥！？),(これがっ……戦闘員の…おちんぽっ…♥！？),,（這是……戰鬥員的…陰莖…♥！？）,這就是……戰鬥員的……陽具……♥！？,,(This is... a soldier's cock...♥?!),(이것이…… 전투원의… 자지…♥!?),（这是……战斗员的…阴茎…♥！？）
,,,,,,,,,,
Hisui.Fallen2-22,,ジュルルルッ♥、ジュポッ♥、ジュポッ♥,ジュルルルッ♥、ジュポッ♥、ジュポッ♥,,啾嚕嚕嚕♥、啾啵♥、啾啵♥,滴滴滴♥、噗嗤♥、噗嗤♥,,Slurp♥ Suck♥ Suck♥,"쥬르르르릇♥, 쥬폿♥, 쥬폿♥",啾噜噜噜♥、啾啵♥、啾啵♥
,,,,,,,,,,
Hisui.Fallen2-23,,(口に入れただけでっ♥、頭の中っ……真っ白に…っ♥),(口に入れただけでっ♥、頭の中っ……真っ白に…っ♥),,（光是放進嘴裡♥，腦袋裡……就一片空白…♥）,(放進口裡…♥，腦袋裡…一片空白…♥),,(My mind... goes blank... just by having it in my mouth...),"(입에 넣은 것만으로♥, 머릿속…… 새하얗게…윽♥)",（光是放进嘴里♥，脑袋里……就一片空白…♥）
,,,,,,,,,,
Hisui.Fallen2-24,,ジュルルルッ♥、ジュポッ♥、ジュポッ♥,ジュルルルッ♥、ジュポッ♥、ジュポッ♥,,啾嚕嚕嚕♥、啾啵♥、啾啵♥,滴滴滴♥、噗嗤♥、噗嗤♥,,Slurp♥ Suck♥ Suck♥,"쥬르르르릇♥, 쥬폿♥, 쥬폿♥",啾噜噜噜♥、啾啵♥、啾啵♥
,,,,,,,,,,
Hisui.Fallen2-25,,(おいひいっ♥、ずっとっ♥、しゃぶってたいっ♥！),(おいひいっ♥、ずっとっ♥、しゃぶってたいっ♥！),,（好吃♥，想一直♥，吸♥！）,(喔喔♥、一直♥、想吸吮♥！),,(So good♥ I want to♥ keep doing this forever♥!),"(맛있어♥, 계속♥, 빨고 싶어♥!)",（好吃♥，想一直♥，吸♥！）
,,,,,,,,,,
Hisui.Fallen2-26,,ちゅうぅうううっ♥、ジュポッ♥、ジュポッ♥、,ちゅうぅうううっ♥、ジュポッ♥、ジュポッ♥、,,啾～～～～♥、啾啵♥、啾啵♥,吸吮吮♥、噗嗤♥、噗嗤♥、,,Suuuuck♥ Slurp♥ Slurp♥,"츄우우우우웃♥, 쥬폿♥, 쥬폿♥,",啾～～～～♥、啾啵♥、啾啵♥、
,,,,,,,,,,
Hisui.Fallen2-27,男戦闘員,「うぉっ！？なんだコイツ……最初からこんなフェラしやがって……！」,「うぉっ！？なんだコイツ……最初からこんなフェラしやがって……！」,,「哇！？這傢伙怎麼回事……一開始就這樣口交……！」,"""喔！？這傢伙是什麼……一開始就這樣給口交……！""",,"""Whoa?! What's with her... blowing me like this from the get-go...!""",「우옷!? 뭐야 이 녀석…… 처음부터 이런 펠라를 하다니……!」,「哇！？这家伙怎么回事……一开始就这样口交……！」
,,,,,,,,,,
Hisui.Fallen2-28,,「洗脳前はクソビッチだったのか…！？」,「教育前はクソビッチだったのか…！？」,,「教育前就是個賤貨了嗎…！？」,「被洗腦前是個混蛋貨…！？」,,"""Was she some kind of slut before the re-educating...?!""",「세뇌 전에는 망할 빗치였나…!?」,「教育前就是个贱货了吗…！？」
,,,,,,,,,,
Hisui.Fallen2-29,,しかしヒスイは男戦闘員のいう事を聞くことなく、更に激しく口淫をしていく。,しかしヒスイは男戦闘員のいう事を聞くことなく、更に激しく口淫をしていく。,,但是翡翠不聽男戰鬥員的話，反而更激烈地進行口交。,然而翡翠沒有聽從男性戰鬥員的話，更加激烈地進行口淫。,,"However, Hisui ignored the male soldier's words and continued blowing him even harder.","하지만 히스이는 남자 전투원의 말을 듣지 않고, 더욱 격렬하게 입으로 애무해 간다.",但是翡翠不听男战斗员的话，反而更激烈地进行口交。
,,,,,,,,,,
Hisui.Fallen2-30,,ジュルルルルルルッッ♥！！ジュポッ♥！ズルルッ♥！,ジュルルルルルルッッ♥！！ジュポッ♥！ズルルッ♥！,,啾嚕嚕嚕嚕嚕！！啾啵♥！滋嚕嚕♥！,吮噗噗噗噗♥！！噗嗤♥！滑噗♥！,,Sluuuuurp♥!! Suck♥! Slurp♥!,쥬르르르르르르릇♥!! 쥬폿♥! 즈르릇♥!,啾噜噜噜噜噜！！啾啵♥！滋噜噜♥！
,,,,,,,,,,
Hisui.Fallen2-31,ヒスイ,(おちんぽっ♥、もっと舐めたいっ♥、もっと欲しいっ♥！！),(おちんぽっ♥、もっと舐めたいっ♥、もっと欲しいっ♥！！),,（陰莖♥，想舔更多♥，想要更多♥！！）,陽具♥、想要更多舔♥、想要更多♥！！,,(This cock♥ I want to taste more♥ I want more♥!!),"(자지♥, 더 핥고 싶어♥, 더 원해♥!!)",（阴茎♥，想舔更多♥，想要更多♥！！）
,,,,,,,,,,
Hisui.Fallen2-32,,ジュルルルッ♥、ジュポッ♥、ジュポッ♥,ジュルルルッ♥、ジュポッ♥、ジュポッ♥,,啾嚕嚕嚕♥、啾啵♥、啾啵♥,吮噗噗♥、噗嗤♥、噗嗤♥,,Slurp♥ Suck♥ Suck♥,"쥬르르르릇♥, 쥬폿♥, 쥬폿♥",啾噜噜噜♥、啾啵♥、啾啵♥
,,,,,,,,,,
Hisui.Fallen2-33,男戦闘員,「ぐっ…このクソ優秀戦闘員がっ……くそっ出るっ…！」,「ぐっ…このクソ優秀戦闘員がっ……くそっ出るっ…！」,,「咕…這該死的優秀戰鬥員……要射了…！」,「咕…這個該死的優秀戰鬥員……該死，要出來了…！」,,"""Guh... this damn soldier.. damn, I'm coming...!""",「크윽… 이 망할 우수 전투원이…… 젠장 싼다…!」,「咕…这该死的优秀战斗员……要射了…！」
,,,,,,,,,,
Hisui.Fallen2-34,3－14,ドプッ、ビュルルルッルッ！！,ドプッ、ビュルルルッルッ！！,,咚噗、嗶嚕嚕嚕！！！,噗、噗噗噗噗！！,,"Splurt, spurrrrt!","도풋, 뷰르르르릇르릇!!",咚噗、哔噜噜噜！！！
,,,,,,,,,,
Hisui.Fallen2-35,ヒスイ,「～～～～ッ♥！！」,「～～～～ッ♥！！」,,「～～～～♥！！」,「～～～～♥！！」,,"""Mmmm♥!!""",「~~~~윽♥!!」,「～～～～♥！！」
,,,,,,,,,,
Hisui.Fallen2-36,,ジュルルルルッ！！ゴキュッ♥、ジュルルル♥！！,ジュルルルルッ！！ゴキュッ♥、ジュルルル♥！！,,啾嚕嚕嚕！！咕嚕♥、啾嚕嚕♥！！,吮噗噗噗！！咕♥、吮噗噗♥！！,,Slurrrp!! Gulp♥ Slurrp♥!!,"쥬르르르르릇!! 꿀꺽♥, 쥬르르르♥!!",啾噜噜噜！！咕噜♥、啾噜噜♥！！
,,,,,,,,,,
Hisui.Fallen2-37,ヒスイ,(おチンポ汁っ♥、こんなに沢山っ…♥、おいしすぎるっ……♥！！),(おチンポ汁っ♥、こんなに沢山っ…♥、おいしすぎるっ……♥！！),,（陰莖汁♥，這麼多…♥，太好吃了……♥！！）,陽具汁♥、這麼多呢…♥、太美味了……♥！！,,(Jizz♥ So much jizz...♥ too delicious...♥!!),"(자지즙♥, 이렇게 많이…♥, 너무 맛있어……♥!!)",（阴茎汁♥，这么多…♥，太好吃了……♥！！）
,,,,,,,,,,
Hisui.Fallen2-38,Hisui story DLC 3-13,そしてヒスイは精液を一滴残らず喉の奥へと飲み込む,そしてヒスイは精液を一滴残らず喉の奥へと飲み込む,,於是翡翠將精液一滴不剩地吞進喉嚨深處。,然後翡翠將精液一滴不剩地嚥入喉嚨深處。,,And Hisui swallowed every last drop down her throat.,그리고 히스이는 정액 한 방울 남기지 않고 목구멍 안으로 삼킨다,于是翡翠将精液一滴不剩地吞进喉咙深处。
,,,,,,,,,,
Hisui.Fallen2-39,Hisui story DLC 3-12,「ぷはっ…♥、キィーーーーーーッ！」,「ぷはっ…♥、キィーーーーーーッ！」,,「噗哈…♥，嘰────────！」,「噗哈…♥、咦───！」,,"""Pwah...♥ KIIIIII!""","「푸핫…♥, 키이ーーーーーー잇!」",「噗哈…♥，吱────────！」
,,,,,,,,,,
Hisui.Fallen2-40,ヒスイ,(………足りないっ…もっと……♥),(………足りないっ…もっと……♥),,（………不夠…還要更多……♥）,(………不夠……♥),,(.........Not enough... more...♥),(………부족해… 더……♥),（………不够…还要更多……♥）
,,,,,,,,,,
Hisui.Fallen2-41,,(“ずっと我慢してたのに”っ♥……もっとおちんぽっ欲しいっ♥),(“ずっと我慢してたのに”っ♥……もっとおちんぽっ欲しいっ♥),,（明明我一直忍耐著♥……想要更多陰莖♥）,(明明一直都在忍耐的……♥……更想要陽具♥),,"(""I've been holding back for so long""♥... I want more cocks♥)",(“계속 참았는데”윽♥…… 더 자지 원해♥),（明明我一直忍耐着♥……想要更多阴茎♥）
,,,,,,,,,,
Hisui.Fallen2-42,男戦闘員,「ふうっ…K46号だったか…？そんなにチンポが好きなら慰安部隊にでも配属――――――うおっ！？」,「ふうっ…K46号だったか…？そんなにチンポが好きなら慰安部隊にでも配属――――――うおっ！？」,,「呼…妳是K46號嗎…？這麼喜歡陰莖的話不如就配屬到慰安部隊──────哇！？」,「呼……K46號嗎…？如果這麼喜歡陽具的話，不如去慰安部隊報到──喔！」,,"""Phew... K46, was it...?! If you like cocks much, maybe you should be assigned to the service unit... Whoa?!""",「후웃… K46호였나…? 그렇게 자지가 좋다면 위로 부대에라도 배치―――――― 우옷!?」,「呼…你是K46号吗…？这么喜欢阴茎的话不如就配属到慰安部队──────哇！？」
,,,,,,,,,,
,暗転,,,,,,,,,
Hisui.Fallen2-43,Hisui story DLC 4-1,ヒスイは戦闘員を押し倒し、腰の上に馬乗りになる。,ヒスイは戦闘員を押し倒し、腰の上に馬乗りになる。,,翡翠推倒戰鬥員，跨坐在腰上。,翡翠將戰鬥員推倒在地，騎在對方腰上。,,Hisui pushed down the soldier and straddled him.,"히스이는 전투원을 밀어 넘어뜨리고, 허리 위에 올라탄다.",翡翠推倒战斗员，跨坐在腰上。
,,,,,,,,,,
Hisui.Fallen2-44,ヒスイ,「キィーーーッ♥！！」,「キィーーーッ♥！！」,,「嘰────♥！！」,「咦───♥！！」,,"""KIII♥!!""",「키이ーーー잇♥!!」,「吱────♥！！」
,,,,,,,,,,
Hisui.Fallen2-45,,(……えっ…私……何をやって……っ♥),(……えっ…私……何をやって……っ♥),,（……欸…我……在做什麼……♥）,(……咦……我……在做什麼……♥),,(...Eh... what am I... doing...♥),(……엣… 나…… 뭘 하고……윽♥),（……欸…我……在做什么……♥）
,,,,,,,,,,
Hisui.Fallen2-46,男戦闘員,「そこまでやれとは……うおっ！？」,「そこまでやれとは……うおっ！？」,,「不用做到那種程度……哇！？」,「居然要做到這種地步……喔！？」,,"""I didn't tell you to go that far... whoa?!""",「거기까지 하라고는…… 우옷!?」,「不用做到那种程度……哇！？」
,,,,,,,,,,
Hisui.Fallen2-47,Hisui story DLC 4-7,そしてK46号は男戦闘員のチンポを躊躇なく自分の膣内へと迎え入れる。,そしてK46号は男戦闘員のチンポを躊躇なく自分の膣内へと迎え入れる。,,於是K46號毫不猶豫地將男戰鬥員的陰莖迎進自己的陰道內。,然後K46號毫不猶豫地將男性戰鬥員的陽具迎入自己的陰道中。,,And K46 put the soldier's cock inside herself without hesitation.,그리고 K46호는 남자 전투원의 자지를 망설임 없이 자신의 질 내로 받아들인다.,于是K46号毫不犹豫地将男战斗员的阴茎迎进自己的阴道内。
,,,,,,,,,,
Hisui.Fallen2-48,ヒスイ,「キィーーーーッ！！？戦闘員様の…おちんぽっ……私の中にっ…♥」,「キィーーーーッ！！？戦闘員様の…おちんぽっ……私の中にっ…♥」,,「嘰──────！！？戰鬥員大人的…陰莖……進到我裡面了…♥」,「咦───♥！！？戰鬥員大人的……陽具……進入我裡面了……♥」,,"""KIIIIII?! A soldier's cock... Inside me...♥""",「키이ーーーー잇!!? 전투원님의… 자지…… 내 안에…♥」,「吱──────！！？战斗员大人的…阴茎……进到我里面了…♥」
,,,,,,,,,,
Hisui.Fallen2-49,,パチュッ、パチュッ、パチュッ♥,パチュッ、パチュッ、パチュッ♥,,啪啾、啪啾、啪啾♥,啪啾、啪啾、啪啾♥,,"Slap, slap, slap♥","파츗, 파츗, 파츗♥",啪啾、啪啾、啪啾♥
,,,,,,,,,,
Hisui.Fallen2-50,,(戦闘員のおチンポっ…おまんこの奥まで届いて……気持ちいいっ…♥),(戦闘員のおチンポっ…おまんこの奥まで届いて……気持ちいいっ…♥),,（戰鬥員的陰莖…頂到小穴深處……好舒服…♥）,戰鬥員的陽具……插到花瓣深處……好舒服……♥,,(The soldier's cock... so deep inside me... feels so good...♥),(전투원 자지… 보지 안쪽까지 닿아서…… 기분 좋아…♥),（战斗员的阴茎…顶到小穴深处……好舒服…♥）
,,,,,,,,,,
Hisui.Fallen2-51,ヒスイ,(でも……なんで……私の中の何かがやっちゃいけないと思ってる……？),(でも……なんで……私の中の何かがやっちゃいけないと思ってる……？),,（但是……為什麼……我內心在想不能做這種事……？）,(但是……為什麼……我內心的某些東西覺得這樣不對……？),,(But... why... does something inside me think I shouldn't be doing this...?!),(하지만…… 왜…… 내 안의 무언가가 하면 안 된다고 생각하고……?),（但是……为什么……我内心在想不能做这种事……？）
,,,,,,,,,,
Hisui.Fallen2-52,,(あれ……そういえば私…さっきまで何か大事なことをやろうとしてたような…？),(あれ……そういえば私…さっきまで何か大事なことをやろうとしてたような…？),,（咦……話說我…剛才好像在想什麼重要的事情…？）,(嗯……說起來……我好像剛剛還在試圖做什麼重要的事情……？),,(Huh... come to think of it... wasn't I trying to do something important...?!),(어라…… 그러고 보니 나… 아까까지 뭔가 중요한 일을 하려고 했던 것 같은데…?),（咦……话说我…刚才好像在想什么重要的事情…？）
,,,,,,,,,,
Hisui.Fallen2-53,,(そう……誰かを助けないと………それが“戦闘員”である私の使命……？),(そう……誰かを助けないと………それが『戦闘員』である私の使命……？),,（對……得救誰才行………那是「戰鬥員」的使命……？）,(嗯……必須要幫助某人……這就是作為“戰鬥員”的我的使命……？),,(Right... I have to save someone... that's my mission as a soldier...?!),(그래…… 누군가를 구해야……… 그것이 “전투원”인 나의 사명……?),（对……得救谁才行………那是“战斗员”的使命……？）
,,,,,,,,,,
Hisui.Fallen2-54,,(こんな事してる場合じゃ……“こんな事”……？),(こんな事してる場合じゃ……『こんな事』……？),,（不是做這種事的時候……「這種事」……？）,這樣做的時候不對……“這樣的事情”……？,,"(I shouldn't be doing ""this""... ""this""...?!)",(이런 짓 하고 있을 때가 아니야…… “이런 짓”……?),（不是做这种事的时候……“这种事”……？）
,,,,,,,,,,
Hisui.Fallen2-55,,(ペニスに奉仕することは“下級戦闘員”として最も重要な任務では…？),(ペニスに奉仕することは『下級戦闘員』として最も重要な任務では…？),,（侍奉陰莖不是「下級戰鬥員」最重要的任務嗎…？）,奉獻於陽具是作為“下級戰鬥員”最重要的任務之一……？,,(Isn't servicing cocks the most important duty of a junior soldier...?!),(페니스에 봉사하는 것은 “하급 전투원”으로서 가장 중요한 임무인데…?),（侍奉阴茎不是“下级战斗员”最重要的任务吗…？）
,,,,,,,,,,
Hisui.Fallen2-56,,(ええ…それ以上に重要なことなんて……ありませんよねっ♥),(ええ…それ以上に重要なことなんて……ありませんよねっ♥),,（欸欸…比那更重要的事……好像沒有吧♥）,是的…沒有比這更重要的事情了吧♥,,(Yes... there's nothing more important than that...♥),(네… 그것보다 중요한 일 따위…… 없잖아요♥),（欸欸…比那更重要的事……好像没有吧♥）
,,,,,,,,,,
Hisui.Fallen2-57,ヒスイ？,「キィーーーーーーッ！♥キィーーーーーーッ！♥」,「キィーーーーーーッ！♥キィーーーーーーッ！♥」,,「嘰────────！♥嘰────────！♥」,「咿———！♥咿———！♥」,,"""KIIIIII!♥ KIIIIII!♥""",「키이ーーーーーー잇!♥ 키이ーーーーーー잇!♥」,「吱────────！♥吱────────！♥」
,,,,,,,,,,
Hisui.Fallen2-58,,ヒスイは戦闘員の叫び声を上げながら男戦闘員の上で腰を振る。,ヒスイは戦闘員の叫び声を上げながら男戦闘員の上で腰を振る。,,翡翠發出戰鬥員的叫聲，在男戰鬥員身上晃動腰部。,翡翠在高喊著戰鬥員的口號，同時在男性戰鬥員身上擺動腰部。,,Hisui moved her hips atop the male while crying out like a soldier.,히스이는 전투원의 외침을 지르며 남자 전투원 위에서 허리를 흔든다.,翡翠发出战斗员的叫声，在男战斗员身上晃动腰部。
,,,,,,,,,,
Hisui.Fallen2-59,072号,「おや……この個体は優秀ですね…K46号ですか。」,「おや……この個体は優秀ですね…K46号ですか。」,,「哎呀……這個個體很優秀呢…是K46號嗎。」,「哦……這個體很優秀呢…K46號嗎。」,,"""Oh... this unit is excellent... K46, is it?""",「어머…… 이 개체는 우수하군요… K46호입니까.」,「哎呀……这个个体很优秀呢…是K46号吗。」
,,,,,,,,,,
Hisui.Fallen2-60,ヒスイ？,「キィーーーーーーッ！072号様、ありがとうございますっ！」,「キィーーーーーーッ！072号様、ありがとうございますっ！」,,「嘰────────！072號大人，謝謝誇獎！」,「咿———！072號，謝謝您！」,,"""KIIIIII! Thank you, captain 072!""","「키이ーーーーーー잇! 072호 님, 감사합니다!」",「吱────────！072号大人，谢谢夸奖！」
,,,,,,,,,,
Hisui.Fallen2-61,XXX,(隊長に褒められましたっ♥、私は優秀な下級戦闘員K46号……！),(隊長に褒められましたっ♥、私は優秀な下級戦闘員K46号……！),,（被隊長誇獎了♥，我是優秀的下級戰鬥員K46號……！）,(隊長讚美了我♥，我是優秀的下級戰鬥員K46號……！),,(The captain praised me♥ I'm the excellent junior soldier K46...!),"(대장님께 칭찬받았습니다♥, 저는 우수한 하급 전투원 K46호……!)",（被队长夸奖了♥，我是优秀的下级战斗员K46号……！）
,,,,,,,,,,
Hisui.Fallen2-62,,(………でも………何か忘れているような……),(………でも………何か忘れているような……),,（………但是………好像忘了什麼……）,(……但是……好像忘記了什麼……),,(.........but... it feels like I'm forgetting something...),(………하지만……… 뭔가 잊고 있는 듯한……),（………但是………好像忘了什么……）
,,,,,,,,,,
Hisui.Fallen2-63,XXX,(あれ……私は……K46号になる前……何を……？),(あれ……私は……K46号になる前……何を……？),,（咦……我在……K46號之前……是做什麼的……？）,(那個……我是……成為K46號之前……做過……什麼……？),,(Huh... before I became K46... what was I...?!),(어라…… 나는…… K46호가 되기 전…… 무엇을……?),（咦……我在……K46号之前……是做什么的……？）
,,,,,,,,,,
Hisui.Fallen2-64,,しかし、K46号の体は思考を置いて男戦闘員の上で跳ねる。,しかし、K46号の体は思考を置いて男戦闘員の上で跳ねる。,,但是，K46號停止思考，開始在男戰鬥員身上跳動。,然而，K46號停下思考，跳到男性戰鬥員的身上。,,"However, K46's body continued bouncing atop the soldier, leaving her thoughts behind.","하지만, K46호의 몸은 생각을 제쳐두고 남자 전투원 위에서 뛰논다.",但是，K46号停止思考，开始在男战斗员身上跳动。
,,,,,,,,,,
Hisui.Fallen2-65,,パチュッ、パチュッ、パチュッ♥！,パチュッ、パチュッ、パチュッ♥！,,啪啾、啪啾、啪啾♥！,啪啾、啪啾、啪啾♥！,,"Slaps, slaps, slap♥!","파츗, 파츗, 파츗♥!",啪啾、啪啾、啪啾♥！
,,,,,,,,,,
Hisui.Fallen2-66,,「キィーーーーーーッ！、K46号のおまんこっ…いかがですかっ♥？」,「キィーーーーーーッ！、K46号のおまんこっ…いかがですかっ♥？」,,「嘰────────！K46號的小穴…怎麼樣啊♥？」,「咦——！K46號的…陰道怎麼樣♥？」,,"""KIIIIII! How is K46's pussy♥?!""","「키이ーーーーーー잇!, K46호의 보지… 어떻습니까♥?」",「吱────────！、K46号的小穴…怎么样啊♥？」
,,,,,,,,,,
Hisui.Fallen2-67,,(おちんぽに突かれるたびに…頭の中真っ白になって…何も考えられない…っ♥),(おちんぽに突かれるたびに…頭の中真っ白になって…何も考えられない…っ♥),,（每次被陰莖頂到…腦袋一片空白…什麼都想不了…♥）,每次被陽具刺入…腦袋一片空白…什麼都想不到…♥,,(Every time his cock thrusts... my mind goes blank... I can't think of anything...♥),(자지에 찔릴 때마다… 머릿속 새하얗게 되어서… 아무 생각도 할 수 없어…윽♥),（每次被阴茎顶到…脑袋一片空白…什么都想不了…♥）
,,,,,,,,,,
Hisui.Fallen2-68,072号,「K46号、夢中になるのは素晴らしいですが、口淫以外の時は戦闘員のマスクを着用しなさい。」,「K46号、夢中になるのは素晴らしいですが、口淫以外の時は戦闘員のマスクを着用しなさい。」,,「K46號，沉迷是很好，但口交以外的時候要戴上戰鬥員的面具。」,「K46號，沉迷其中是很棒的，但在非口交時，請戴上戰鬥員的面具。」,,"""K46, while your enthusiasm is admirable, wear your soldier mask except during oral service.""","「K46호, 열중하는 것은 훌륭하지만, 구음(펠라) 외에는 전투원 마스크를 착용하십시오.」",「K46号，沉迷是很好，但口交以外的时候要戴上战斗员的面具。」
,,,,,,,,,,
Hisui.Fallen2-69,XXX,「キィーーーーーーッ！」,「キィーーーーーーッ！」,,「嘰────────！」,「咦——！」,,"""Kiiii!""",「키이ーーーーーー잇!」,「吱────────！」
,,,,,,,,,,
Hisui.Fallen2-70,,そしてK46号は全身をスーツで覆い、見た目が完全に下級戦闘員となる。,そしてK46号は全身をスーツで覆い、見た目が完全に下級戦闘員となる。,,於是K46號用戰鬥服覆蓋全身，外表完全變成了下級戰鬥員。,然後K46號用連身衣覆蓋全身，外表完全變成下級戰鬥員。,,"And so K46 covered her entire body with the suit, completely becoming a junior soldier in appearance.","그리고 K46호는 전신을 슈트로 덮고, 외형이 완전히 하급 전투원이 된다.",于是K46号用战斗服覆盖全身，外表完全变成了下级战斗员。
,,,,,,,,,,
Hisui.Fallen2-71,K46号？,(んっ♥、このマスクっ……なんでこんなに安心するんですかっ……？),(んっ♥、このマスクっ……なんでこんなに安心するんですかっ……？),,（嗯♥，這個面具……為什麼這麼安心啊……？）,(嗯♥，這個面具……為什麼會這麼讓人安心呢……？),,(Mmm♥ this mask... why does it feel so reassuring...?!),"(응읏♥, 이 마스크…… 왜 이렇게 안심되는 거죠……?)",（嗯♥，这个面具……为什么这么安心啊……？）
,,,,,,,,,,
Hisui.Fallen2-72,,(はあっ♥…おちんぽっ♥…射精させないと…私は下級戦闘員…K46号なんだから……),(はあっ♥…おちんぽっ♥…射精させないと…私は下級戦闘員…K46号なんだから……),,（哈啊♥…陰莖♥…得讓它射精…我是下級戰鬥員…K46號……）,(啊♥…陽具♥…如果不讓他射精…我就是下級戰鬥員…K46號……),,(Haah♥... his cock♥... I need to make him come... because I'm a junior soldier ... K46...),(하앗♥… 자지♥… 사정시키지 않으면… 나는 하급 전투원… K46호니까……),（哈啊♥…阴茎♥…得让它射精…我是下级战斗员…K46号……）
,,,,,,,,,,
Hisui.Fallen2-73,,パチュッ、パチュッ、パチュッ♥！,パチュッ、パチュッ、パチュッ♥！,,啪啾、啪啾、啪啾♥！,啪啾、啪啾、啪啾♥！,,"Slaps, slaps, slap♥!","파츗, 파츗, 파츗♥!",啪啾、啪啾、啪啾♥！
,,,,,,,,,,
Hisui.Fallen2-74,,(あれ……K46号……いつから………？),(あれ……K46号……いつから………？),,（咦……K46號……從什麼時候開始………？）,(那個……K46號……從什麼時候………？),,(Huh... K46... since when...?!),(어라…… K46호…… 언제부터………?),（咦……K46号……从什么时候开始………？）
,,,,,,,,,,
Hisui.Fallen2-75,,(私は………………),(私は………………),,（我是………………）,(我是………………),,(I am...),(나는………………),（我是………………）
,,,,,,,,,,
