Key,Comment,Japanese,Traditional Chinese,Simplified Chinese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam,Simplified Chinese_Steam
,,,,,,,,,
Dialog.DLC1-1-127,,バチバチバチッ！！,嘣嘣嘣！！,,バチバチバチッ！！,滋滋滋！！,Zap zap zap!!,바치바치바칫!!,滋滋滋！！
,,,,,,,,,
Dialog.DLC1-1-128,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在執行對象者的記憶消除和性慾增幅。由於危險，請對象者立即停止思考。】,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在對對象實施記憶消除與性慾增幅 由於非常危險性請對象立刻停止思考】,"[The subject's memory is being erased and their libido is being amplified. It is dangerous to keep thinking, please stop immediately.]",【대상자의 기억 소거 및 성욕 증폭 실시 중. 위험하므로 대상자는 즉시 사고를 정지하십시오.】,【正在对对象实施记忆消除与性欲增幅 由于非常危险性请对象立刻停止思考】
,,,,,,,,,
Dialog.DLC1-1-129,,(ひぎゅううううっ♥！？、わ、わたしはっ、負け…ないっ♥！！！),(嘿咻咻咻♥！？、我、我不會輸的♥！！！),,(ひぎゅううううっ♥！？、わ、わたしはっ、負け…ないっ♥！！！),（呀嗚嗚嗚嗚♥！？我、我不會輸……的♥！！！）,(Hggggggg?! I-I won't... be defeated♥!!!),"(히규우우우웃♥!? 나, 나는, 지지… 않아♥!!!)",（♥我……我不会输的……！）
,,,,,,,,,
Dialog.DLC1-1-130,,バチバチバチッ！！,嘣嘣嘣！！,,バチバチバチッ！！,滋滋滋！！,Zap zap zap!!,바치바치바칫!!,滋滋滋！！
,,,,,,,,,
Dialog.DLC1-1-131,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在執行對象者的記憶消除和性慾增幅。由於危險，請對象者立即停止思考。】,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在對對象實施記憶消除與性慾增幅 由於非常危險性請對象立刻停止思考】,"[The subject's memory is being erased and their libido is being amplified. It is dangerous to keep thinking, please stop immediately.]",【대상자의 기억 소거 및 성욕 증폭 실시 중. 위험하므로 대상자는 즉시 사고를 정지하십시오.】,【正在对对象实施记忆消除与性欲增幅 由于非常危险性请对象立刻停止思考】
,,,,,,,,,
Dialog.DLC1-1-132,,(んああっ♥、お゛っ♥、お゛ぉ…),(嗯啊♥、喔♥、喔…),,(んああっ♥、お゛っ♥、お゛ぉ…),（唔啊♥，唔…噢♥，哦…）,(Naaa♥ Oh♥ Ohh...),"(응아앗♥, 오옷 옷♥, 오옷 오…)",（唔啊♥，唔…噢♥，哦…）
,,,,,,,,,
Dialog.DLC1-1-133,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在執行對象者的記憶消除和性慾增幅。由於危險，請對象者立即停止思考。】,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在對對象實施記憶消除與性慾增幅 由於非常危險性請對象立刻停止思考】,"[The subject's memory is being erased and their libido is being amplified. It is dangerous to keep thinking, please stop immediately.]",【대상자의 기억 소거 및 성욕 증폭 실시 중. 위험하므로 대상자는 즉시 사고를 정지하십시오.】,【正在对对象实施记忆消除与性欲增幅 由于非常危险性请对象立刻停止思考】
,,,,,,,,,
Dialog.DLC1-1-134,,(………私は……っ♥),(………我……♥),,(………私は……っ♥),（♥我……是……）,(...I am...♥),(………나는……윽♥),（♥我……是……）
,,,,,,,,,
Dialog.DLC1-1-135,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在執行對象者的記憶消除和性慾增幅。由於危險，請對象者立即停止思考。】,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在對對象實施記憶消除與性慾增幅 由於非常危險性請對象立刻停止思考】,"[The subject's memory is being erased and their libido is being amplified. It is dangerous to keep thinking, please stop immediately.]",【대상자의 기억 소거 및 성욕 증폭 실시 중. 위험하므로 대상자는 즉시 사고를 정지하십시오.】,【正在对对象实施记忆消除与性欲增幅 由于非常危险性请对象立刻停止思考】
,,,,,,,,,
Dialog.DLC1-1-136,,(せい……かく……),(聖……核……),,(せい……かく……),（聖……核……）,(Ho...ly... Core...),(성……핵……),（圣……核……）
,,,,,,,,,
Dialog.DLC1-1-137,,(……………),(……………),,(……………),（…………）,(...),(……………),（…………）
,,,,,,,,,
Dialog.DLC1-1-138,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在執行對象者的記憶消除和性慾增幅。由於危險，請對象者立即停止思考。】,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在對對象實施記憶消除與性慾增幅 由於非常危險性請對象立刻停止思考】,"[The subject's memory is being erased and their libido is being amplified. It is dangerous to keep thinking, please stop immediately.]",【대상자의 기억 소거 및 성욕 증폭 실시 중. 위험하므로 대상자는 즉시 사고를 정지하십시오.】,【正在对对象实施记忆消除与性欲增幅 由于非常危险性请对象立刻停止思考】
,,,,,,,,,
Dialog.DLC1-1-139,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在執行對象者的記憶消除和性慾增幅。由於危險，請對象者立即停止思考。】,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在對對象實施記憶消除與性慾增幅 由於非常危險性請對象立刻停止思考】,"[The subject's memory is being erased and their libido is being amplified. It is dangerous to keep thinking, please stop immediately.]",【대상자의 기억 소거 및 성욕 증폭 실시 중. 위험하므로 대상자는 즉시 사고를 정지하십시오.】,【正在对对象实施记忆消除与性欲增幅 由于非常危险性请对象立刻停止思考】
,,,,,,,,,
Dialog.DLC1-1-140,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在執行對象者的記憶消除和性慾增幅。由於危險，請對象者立即停止思考。】,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在對對象實施記憶消除與性慾增幅 由於非常危險性請對象立刻停止思考】,"[The subject's memory is being erased and their libido is being amplified. It is dangerous to keep thinking, please stop immediately.]",【대상자의 기억 소거 및 성욕 증폭 실시 중. 위험하므로 대상자는 즉시 사고를 정지하십시오.】,【正在对对象实施记忆消除与性欲增幅 由于非常危险性请对象立刻停止思考】
,,,,,,,,,
Dialog.DLC1-1-141,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在執行對象者的記憶消除和性慾增幅。由於危險，請對象者立即停止思考。】,,【対象者の記憶の消去及び性欲の増幅を実施中。危険ですので対象者は直ちに思考を停止してください。】,【正在對對象實施記憶消除與性慾增幅 由於非常危險性請對象立刻停止思考】,"[The subject's memory is being erased and their libido is being amplified. It is dangerous to keep thinking, please stop immediately.]",【대상자의 기억 소거 및 성욕 증폭 실시 중. 위험하므로 대상자는 즉시 사고를 정지하십시오.】,【正在对对象实施记忆消除与性欲增幅 由于非常危险性请对象立刻停止思考】
,,,,,,,,,
,暗転,,,,,,,,
Dialog.DLC1-1-142,Hisui story DLC2-5,記憶消去が始まってから30分ほどが経ち――――,記憶消除開始後大約30分───,,記憶消去が始まってから30分ほどが経ち――――,記憶消除開始之後，約過了三十分鐘――――,About thirty minutes passed since the memory erasure began...,기억 소거가 시작된 지 30분 정도 지나――――,记忆消除开始之后，约过了叁十分钟――――
,,,,,,,,,
Dialog.DLC1-1-143,ヒスイ,(んあ゛っ♥、お゛♥、お゛ぉ♥………っ♥),(嗯啊♥、喔♥、喔喔♥………♥),,(んあ゛っ♥、お゛♥、お゛ぉ♥………っ♥),（嗯啊啊♥、哦♥、哦哦♥……♥）,(Nah♥ Oh♥ Ohh♥...♥),"(응아옷 앗♥, 오옷 ♥, 오옷 오옷♥………윽♥)",（嗯啊啊♥、哦♥、哦哦♥……♥）
,,,,,,,,,
Dialog.DLC1-1-144,,【――――記憶消去及び性欲増強措置完了。対象者の人格矯正を終了します。】,【───記憶消除和性慾增強措施完成。對象者的人格矯正結束。】,,【――――記憶消去及び性欲増強措置完了。対象者の人格矯正を終了します。】,【——記憶消除以及性慾增幅處置完成。結束對對象的人格矯正】,[...Memory erasure and libido enhancement complete. Subject personality correction finished.],【――――기억 소거 및 성욕 증강 조치 완료. 대상자의 인격 교정을 종료합니다.】,【——记忆消除以及性欲增幅处置完成。结束对对象的人格矫正】
,,,,,,,,,
Dialog.DLC1-1-145,,(んあっ……お゛♥、おわっ…た……………？),(嗯……喔♥、結束了……………？),,(んあっ……お゛♥、おわっ…た……………？),（嗯啊……哦♥、結…束了……………？）,(Nah... Oh♥ It's... over...?),"(응앗…… 오옷 ♥, 끝…났………?)",（嗯啊……哦♥、结…束了……………？）
,,,,,,,,,
Dialog.DLC1-1-146,,(わ…わたし……だ、大丈夫っ………まだ……記憶は残ってるっ…！),(我……我……我、我沒事……還……記憶還在……！),,(わ…わたし……だ、大丈夫っ………まだ……記憶は残ってるっ…！),（我、我……還好……記憶……還在……！）,(I... I'm... okay... my memories... are still there...!),"(나…… 괜, 괜찮아……… 아직…… 기억은 남아있어…!)",（我、我……还好……记忆……还在……！）
,,,,,,,,,
Dialog.DLC1-1-147,,(私は……ヒスイ……“聖核戦姫”……で……),(我是……翡翠……“聖核戰姬”……的……),,(私は……ヒスイ……“聖核戦姫”……で……),（我是……翡翠……是「聖核戰姬」……）,"(I am... Hisui... a ""Holy Core Battlemaiden""... and...)",(나는…… 히스이…… “성핵전희”……이고……),（我是……翡翠……是「圣核战姬」……）
,,,,,,,,,
Dialog.DLC1-1-148,,(潜入するために……“戦闘員になって”………。),為了潛入……成為“戰鬥員”……。,,(潜入するために……“戦闘員になって”………。),（為了潛入……「我主動變成戰鬥員」……）,"(To infiltrate... I ""became a soldier""...)",(잠입하기 위해…… “전투원이 되어”……….),（为了潜入……「我主动变成战斗员」……）
,,,,,,,,,
Dialog.DLC1-1-149,,【最終工程、戦闘員マスクの着用を行い戦闘員化を完了します。】,【最終階段，穿上戰鬥員面具，完成戰鬥員化。】,,【最終工程、戦闘員マスクの着用を行い戦闘員化を完了します。】,【最終階段，為對象配戴戰鬥員面具，以完成戰鬥員化】,"[Final process, applying soldier mask to complete soldier conversion.]","【최종 공정, 전투원 마스크 착용 실시하여 전투원화 완료합니다.】",【最终阶段，为对象配戴战斗员面具，以完成战斗员化】
,,,,,,,,,
Dialog.DLC1-1-150,Hisui story DLC2-6,そして機械によって戦闘員のマスクが装着されると、ヒスイの見た目は完全に戦闘員へと変貌する。,當機械裝上戰鬥員面具後，翡翠的外表完全變成了戰鬥員的模樣。,,そして機械によって戦闘員のマスクが装着されると、ヒスイの見た目は完全に戦闘員へと変貌する。,機械手臂將戰鬥員用的面具扣在她臉上後，翡翠的外表已經徹底變成一名戰鬥員。,"When the machine applied the soldier's mask, Hisui's appearance completely transformed into that of a soldier.","그리고 기계에 의해 전투원 마스크가 착용되자, 히스이의 외형은 완전히 전투원으로 변모한다.",机械手臂将战斗员用的面具扣在她脸上后，翡翠的外表已经彻底变成一名战斗员。
,,,,,,,,,
Dialog.DLC1-1-151,,(む、むぐっ…！？),(嗯、嗯咕……！？),,(む、むぐっ…！？),（唔、嗯……！？）,(M-mmph...?!),"(읍, 읍읍…!?)",（唔、嗯……！？）
,,,,,,,,,
Dialog.DLC1-1-152,,(こ、これがあの戦闘員達が着けていたマスク…！？顔にぴったり張り付いてるっ……！？),這、這就是那些戰鬥員們戴的面具…！？緊貼在臉上……！？,,(こ、これがあの戦闘員達が着けていたマスク…！？顔にぴったり張り付いてるっ……！？),（這、這就是那些戰鬥員戴的面具……！？整個緊貼在臉上……！？）,(Th-this is the mask those soldiers were wearing...?! It's stuck tight to my face...?!),"(이, 이것이 저 전투원들이 쓰고 있던 마스크…!? 얼굴에 딱 달라붙어 있어……!?)",（这、这就是那些战斗员戴的面具……！？整个紧贴在脸上……！？）
,,,,,,,,,
Dialog.DLC1-1-153,,【今後下級戦闘員は許可なしにマスクを外すことは禁止されます。】,【未來，下級戰鬥員未經許可不得取下面具。】,,【今後下級戦闘員は許可なしにマスクを外すことは禁止されます。】,【今後下級戰鬥員未獲許可禁止擅自摘下面具】,[Junior soldiers are prohibited from removing their masks without permission.],【이후 하급 전투원은 허가 없이 마스크를 벗는 것은 금지됩니다.】,【今后下级战斗员未获许可禁止擅自摘下面具】
,,,,,,,,,
Dialog.DLC1-1-154,,【これにて戦闘員化プログラムを終了します。下級戦闘員H46号、返答を。】,【現在結束戰鬥員化程式。下級戰鬥員H46號，回報。】,,【これにて戦闘員化プログラムを終了します。下級戦闘員H46号、返答を。】,【至此，戰鬥員化程式全部結束。下級戰鬥員H46號，回覆】,"[This concludes the soldier conversion program. Junior Soldier H46, respond.]","【이것으로 전투원화 프로그램을 종료합니다. 하급 전투원 H46호, 답변을.】",【至此，战斗员化程序全部结束。下级战斗员H46号，回复】
,,,,,,,,,
Dialog.DLC1-1-155,,「き、キ―――――ッ！」,「啊、啊——！」,,「き、キ―――――ッ！」,「嘰、嘰————！」,"""K-Kiiiiiii!""","「키, 키―――――잇!」",「吱————！」
,,,,,,,,,
Dialog.DLC1-1-156,,【これより下級戦闘員H37号からH48号は部隊配属、及び戦闘訓練を行います。】,【從現在起，下級戰鬥員H37號到H48號將被分配到部隊，進行戰鬥訓練。】,,【これより下級戦闘員H37号からH48号は部隊配属、及び戦闘訓練を行います。】,【接下來下級戰鬥員H37號至H48號將進行部隊編入以及戰鬥訓練】,[Junior Soldiers H37 through H48 will now proceed to unit assignment and combat training.],"【이것으로 하급 전투원 H37호부터 H48호는 부대 배치, 및 전투 훈련을 실시합니다.】",【接下来下级战斗员H37号至H48号将进行部队编入以及战斗训练】
,,,,,,,,,
Dialog.DLC1-1-157,,【拘束を解除した後速やかに戦闘訓練所に移動してください。】,【解除拘束後，請立即前往戰鬥訓練所。】,,【拘束を解除した後速やかに戦闘訓練所に移動してください。】,【解除拘束後，請立即前往戰鬥訓練場】,"[After restraints are released, proceed immediately to the combat training facility.]",【구속 해제 후 신속히 전투 훈련소로 이동하십시오.】,【解除拘束后，请立即前往战斗训练场】
,,,,,,,,,
Dialog.DLC1-1-158,ヒスイ,「キ―――――ッ！」,「啊、啊——！」,,「キ―――――ッ！」,「嘰————！」,"""Kiiiiiii!""",「키―――――잇!」,「吱————！」
,,,,,,,,,
,暗転,暗転,黑幕,,暗転,,Blackout,,
,地下通路　背景,,,,,,,,
,,,,,,,,,
Dialog.DLC1-1-159,ヒスイ(Hisui_sentouin_mask),(……はあ、はあ、これで洗脳は耐えきりました……よね…？),(......呼、呼，這樣洗腦就扛過來了......對吧...？),,(……はあ、はあ、これで教育は耐えきりました……よね…？),（……哈啊、哈啊，這樣就算是撐過教育了……對吧？）,"(...Haa, haa, I managed to withstand the re-education... right...?)","(……하아, 하아, 이걸로 세뇌는 견뎌냈어…… 그렇지…?)",（……哈啊、哈啊，这样就算是撑过教育了……对吧？）
,,,,,,,,,
Dialog.DLC1-1-160,,(体がちょっと熱いし……ちょっと下半身が…むずむずするけど……記憶も思考も大丈夫…！),(身體有點發燒......下半身有點......癢癢的，但記憶和思考都沒問題...！),,(体がちょっと熱いし……ちょっと下半身が…むずむずするけど……記憶も思考も大丈夫…！),（身體有點發熱……下半身也有點癢癢的……但記憶和思考都正常……沒問題！）,(My body feels a bit hot... and my lower body feels... tingly but... my memories and thoughts are intact...!),(몸이 조금 뜨겁고…… 조금 하반신이… 근질근질하지만…… 기억도 사고도 괜찮아…!),（身体有点发热……下半身也有点痒痒的……但记忆和思考都正常……没问题！）
,,,,,,,,,
Dialog.DLC1-1-161,,その時部屋に一人の女性が入ってくる,那時，一位女性進入房間。,,その時部屋に一人の女性が入ってくる,這時，一名女性走進房間。,"At that moment, a woman entered the room.",그때 방에 한 여성이 들어온다,这时，一名女性走进房间。
,,,,,,,,,
Dialog.DLC1-1-162,005号,「……新しく配属された下級戦闘員は直ちに整列を。」,「......新加入的新手戰鬥員立即整隊。」,,「……新しく配属された下級戦闘員は直ちに整列を。」,「……新編入的下級戰鬥員立刻集合。」,"""...Newly assigned junior soldiers, fall in immediately.""",「……새롭게 배치된 하급 전투원은 즉시 정렬을.」,「……新编入的下级战斗员立刻集合。」
,,,,,,,,,
Dialog.DLC1-1-163,下級戦闘員,「「「「キ――――ッ！」」」」,「「「「啊——！」」」」,,「「「「キ――――ッ！」」」」,「「「「嘰————！」」」」,"""Kiiiii!""",「「「「키――――잇!」」」」,「「「「吱——！」」」」
,,,,,,,,,
Dialog.DLC1-1-164,ヒスイ,「き、キーーーッ！！」,「啊——！」,,「き、キーーーッ！！」,「嘰、嘰———！」,"""K-Kiiiii!!""","「키, 키ーーー잇!!」",「吱、吱——！」
,,,,,,,,,
Dialog.DLC1-1-165,,下級戦闘員達は敬礼して005号の前に整列する,新手戰鬥員們向005號敬禮，並在她面前整隊。,,下級戦闘員達は敬礼して005号の前に整列する,下級戰鬥員們立正敬禮，排成一列站在005號面前。,The junior soldiers saluted and lined up before 005.,하급 전투원들은 경례하며 005호 앞에 정렬한다,下级战斗员们立正敬礼，排成一列站在005号面前。
,,,,,,,,,
Dialog.DLC1-1-166,005号,「私は当部隊隊長及び戦闘訓練担当のクローン戦闘員005号です。私の命令には絶対に従うように。」,「我是本部隊隊長兼戰鬥訓練負責人的克隆戰鬥員005號。必須絕對服從我的命令。」,,「私は当部隊隊長及び戦闘訓練担当のクローン戦闘員005号です。私の命令には絶対に従うように。」,「我是本部隊隊長兼戰鬥訓練負責人，克隆戰鬥員005號。今後必須絕對服從我的命令。」,"""I am Clone Soldier 005, squad leader and combat training instructor. You will obey my orders without any questions.""",「나는 당 부대 대장 및 전투 훈련 담당 클론 전투원 005호입니다. 내 명령에는 절대 복종하도록.」,「我是本部队队长兼战斗训练负责人，克隆战斗员005号。今后必须绝对服从我的命令。」
,,,,,,,,,
Dialog.DLC1-1-167,ヒスイ＆下級戦闘員,「「「「キ――――ッ！」」」」,「「「「啊——！」」」」,,「「「「キ――――ッ！」」」」,「「「「嘰————！」」」」,"""Kiiiii!""",「「「「키――――잇!」」」」,「「「「吱——！」」」」
,,,,,,,,,
Dialog.DLC1-1-168,ヒスイ,(コイツっ、聖核戦姫のクローン……),(這傢伙，是聖核戰姬的克隆......),,(コイツっ、聖核戦姫のクローン……),（這傢伙是……聖核戰姬的克隆人……）,(This one... a Holy Core Battlemaiden clone...),"(이 녀석, 성핵전희 클론……)",（这家伙是……圣核战姬的克隆……）
,,,,,,,,,
Dialog.DLC1-1-169,005号,「それでは戦闘訓練を開始します。優秀な成績を収めた個体は幹部か怪人の部隊へ所属できるので全力で取り組みなさい。」,「現在開始戰鬥訓練。表現優異者可加入幹部或怪人部隊，請全力以赴。」,,「それでは戦闘訓練を開始します。優秀な成績を収めた個体は幹部か怪人の部隊へ所属できるので全力で取り組みなさい。」,「那麼現在開始進行戰鬥訓練。成績優秀者，可以被編入幹部或怪人直屬部隊，給我全力以赴。」,"""We will now begin combat training. Those who achieve excellent results can be assigned to executive or fiend units, so give it your all.""","「그럼, 전투 훈련을 개시합니다. 우수한 성적을 거둔 개체는 간부나 괴인 부대에 소속될 수 있으니, 전력으로 임하도록 하세요.」",「那么现在开始进行战斗训练。成绩优秀者，可以被编入干部或怪人直属部队，给我全力以赴。」
,,,,,,,,,
Dialog.DLC1-1-170,ヒスイ＆下級戦闘員,「「「「キ――――ッ！」」」」,「「「「啊——！」」」」,,「「「「キ――――ッ！」」」」,「「「「嘰————！」」」」,"""Kiiiii!""",「「「「키――――잇!」」」」,「「「「吱——！」」」」
,,,,,,,,,
Dialog.DLC1-1-171,ヒスイ,(………それなら！もしかしたらエレナ先輩の所へ近づけるかも…！),(......那樣的話！也許可以靠近艾蓮娜前輩的地方...！),,(………それなら！もしかしたらエレナ先輩の所へ近づけるかも…！),（……那這樣的話！說不定就有機會接近艾蓮娜前輩那邊……！）,(...In that case! Maybe I can get closer to Erena...!),(………그렇다면! 어쩌면 엘레나 선배에게 가까워질 수 있을지도…!),（……那这样的话！说不定就有机会接近艾莲娜前辈那边……！）
,,,,,,,,,
Dialog.DLC1-1-172,,(チャンスです！優秀な戦闘員としてふるまって見せます！),這是個機會！我會展現出優秀的戰鬥員風範！,,(チャンスです！優秀な戦闘員としてふるまって見せます！),（這是機會！我要好好扮演一個「優秀戰鬥員」！）,(This is my chance! I'll act as an excellent soldier!),(기회입니다! 우수한 전투원으로서 행동해 보이겠습니다!),（这是机会！我要好好扮演一个「优秀战斗员」！）
,,,,,,,,,
Dialog.DLC1-1-173,,こうして下級戦闘員46号となったヒスイの財団での潜入生活が始まるのだった。,就這樣，成為第46號下級戰鬥員的翡翠，開始了在財團中的潛入生活。,,こうして下級戦闘員46号となったヒスイの財団での潜入生活が始まるのだった。,就這樣，翡翠以下級戰鬥員46號之名，開始了她在財團內的潛入生活。,Thus began Hisui's infiltration life at the Foundation as Junior Soldier 046.,이렇게 하급 전투원 46호가 된 히스이의 재단 잠입 생활이 시작되었다.,就这样，翡翠以下级战斗员46号之名，开始了她在财团内的潜入生活。
,,,,,,,,,
Dialog.DLC1-1-174,,――――――――,――――――――,,――――――――,――――――――,...,――――――――,――――――――
,,,,,,,,,
Dialog.DLC1-1-175,,――――,――――,,――――,――――,...,――――,――――
,,,,,,,,,
Dialog.DLC1-1-176,,ー,――,,ー,—,...,ー,—
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DLC1-2,,,,,,,,,
,,,,,,,,,
Dialog.DLC1-2-1,,ヒスイが戦闘員として財団に潜入してから1週間ほど経ち――――,自翡翠作為戰鬥員潛入財團已經過了大約一周的時間——,,ヒスイが戦闘員として財団に潜入してから1週間ほど経ち――――,翡翠以戰鬥員身分潛入財團後，約過了一個星期――――,About a week had passed since Hisui infiltrated the Foundation as a soldier...,히스이가 전투원으로서 재단에 잠입한 지 1주일 정도 지나――――,翡翠以战斗员身分潜入财团后，约过了一个星期――――
,アジト,,,,,,,,
Dialog.DLC1-2-2,那由多,「それで……脱走した聖核戦姫はまだ見つからないのでしょうか？」,「所以……逃脫的聖核戰姬還沒有被找到嗎？」,,「それで……脱走した聖核戦姫はまだ見つからないのでしょうか？」,「所以說……那個脫逃的聖核戰姬，到現在還沒找到嗎？」,"""So... haven't you found the escaped Holy Core Battlemaidens yet?""",「그래서…… 탈주한 성핵전희는 아직 발견되지 않았습니까?」,「所以说……那个脱逃的圣核战姬，到现在还没找到吗？」
,,,,,,,,,
Dialog.DLC1-2-3,京,「う～ん、そうは言ってもねえ？」,「嗯，就算這樣說……？」,,「う～ん、そうは言ってもねえ？」,「嗯～話是這麼說沒錯啦？」,"""Hmm, even if you say that?""","「으음, 그렇게 말해도 말이지?」",「嗯～话是这么说没错啦？」
,,,,,,,,,
Dialog.DLC1-2-4,京,「逃げ出した片方はダイヤモンドだ。昔の那由多に匹敵する実力者だよ？」,「逃走的其中一人是黛雅。她的實力可與以前的那由多相提並論，你知道嗎？」,,「逃げ出した片方はダイヤモンドだ。昔の那由多に匹敵する実力者だよ？」,「逃走的其中一個可是黛雅喔。她的實力足以匹敵以前的那由多耶。」,"""One of the escapees is Diamond. She's someone whose abilities rival your past self, you know?""",「도망친 한 명은 다이아몬드. 예전의 나유타에 필적하는 실력자라고?」,「逃走的其中一个可是黛雅喔。她的实力足以匹敌以前的那由多耶。」
,,,,,,,,,
Dialog.DLC1-2-5,,「適当な戦力を送って探させたんじゃ、各個撃破されて返り討ちに逢いかねない。」,「派遣適當的戰力去搜索的話，可能會被各個擊破，反遭反擊。」,,「適当な戦力を送って探させたんじゃ、各個撃破されて返り討ちに逢いかねない。」,「要是只是隨便派點戰力出去搜，就有可能被她各個擊破，反而被幹掉。」,"""If we send inadequate forces to search, they might get picked off one by one.""","「적당한 전력을 보내서 찾게 해도, 각개격파당해 되려 당할지도 몰라.」",「要是只是随便派点战力出去搜，就有可能被她各个击破，反而被干掉。」
,,,,,,,,,
Dialog.DLC1-2-6,那由多,「……私が直接探した方が早いと思うのですが。」,「……我認為直接由我來搜索會更快。」,,「……私が直接探した方が早いと思うのですが。」,「……我自己去找，應該會比較快。」,"""...I think it would be faster if I searched directly.""",「……제가 직접 찾는 편이 빠를 것 같습니다만.」,「……我自己去找，应该会比较快。」
,,,,,,,,,
Dialog.DLC1-2-7,京,「那由多がいない時に本部が攻撃されたらどうするのさ…少なくとも私は相手したくないね。」,「那由多不在的時候，如果總部遭到攻擊，該怎麼辦呢…至少我是不想面對的。」,,「那由多がいない時に本部が攻撃されたらどうするのさ…少なくとも私は相手したくないね。」,「那要是趁那由多不在的時候，本部被攻擊了怎麼辦？至少我可不想跟那種對手打。」,"""What if headquarters is attacked while you're away... At least I don't want to face her.""",「나유타가 없을 때 본부가 공격당하면 어쩔 거야… 적어도 나는 상대하고 싶지 않아.」,「那要是趁那由多不在的时候，本部被攻击了怎么办？至少我可不想跟那种对手打。」
,,,,,,,,,
Dialog.DLC1-2-8,那由多,「…それもそうですね……ではもう一人の方は？」,「…這也是啊……那麼另一個人呢？」,,「…それもそうですね……ではもう一人の方は？」,「……說得也是呢……那另一個呢？」,"""...That's true... Then what about the other one?""",「…그것도 그렇군요…… 그럼 다른 한 명은?」,「……说得也是呢……那另一个呢？」
,,,,,,,,,
Dialog.DLC1-2-9,京,「西園寺ヒスイ、生徒会で書記をやってた娘だね…戦闘力的にはこっちは大した脅威にはならなさそうだ。」,「西園寺 翡翠，在學生會擔任書記的女孩呢…就戰鬥力而言，她似乎對我們來說不是什麼大威脅。」,,「西園寺ヒスイ、レギオン司令部で書記をやってた娘だね…戦闘力的にはこっちは大した脅威にはならなさそうだ。」,「西園寺翡翠，就是以前在軍團司令部當書記的那個女孩嘛……以戰力來說，她對我們應該構不成什麼威脅。」,"""Hisui Saionji, the girl who worked as a secretary at Legion Command... In terms of combat ability, she doesn't seem to be much of a threat.""","「사이온지 히스이, 레기온 사령부에서 서기를 했었네… 전투력으로는 이쪽은 별 위협이 되지 않을 것 같아.」",「西园寺翡翠，就是以前在军团司令部当书记的那个女孩嘛……以战力来说，她对我们应该构不成什么威胁。」
,,,,,,,,,
Dialog.DLC1-2-10,那由多,「そういえばそんなのもいた気がしますね…あまり記憶には残っていないですが。」,「說起來好像也有這樣的人呢…雖然記憶中沒有留下太深刻的印象。」,,「そういえばそんなのもいた気がしますね…あまり記憶には残っていないですが。」,「這麼說來好像是有那個人呢……不過沒什麼印象。」,"""Come to think of it, I vaguely remember someone like that... though she didn't leave much of an impression.""",「그러고 보니 그런 것도 있었던 것 같군요… 별로 기억에 남아 있지는 않지만.」,「这么说来好像是有那个人呢……不过没什么印象。」
,,,,,,,,,
Dialog.DLC1-2-11,京,「二人がどこにいるのかは……まだ分からないけど。」,「雖然還不知道他們在哪裡。」,,「二人がどこにいるのかは……まだ分からないけど。」,「她們現在在哪裡……還是不清楚就是了。」,"""Where the two of them are... we still don't know.""",「두 사람이 어디 있는지는…… 아직 모르겠지만.」,「我们现在依然不清楚……她们现在在哪里就是了。」
,,,,,,,,,
Dialog.DLC1-2-12,京,「…………案外近くに隠れてたりして。」,「…………也許就悄悄躲在附近呢。」,,「…………案外近くに隠れてたりして。」,「…………搞不好，就躲在意外近的地方也說不定。」,"""...They might be hiding surprisingly close by.""",「…………의외로 가까이에 숨어 있을지도.」,「…………搞不好，就躲在意外近的地方也说不定。」
,,,,,,,,,
,暗転,,,,,,,,
,,,,,,,,,
