Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam,Simplified Chinese_Steam
Record.AkihoPaizuri-24,明穂,「んっ♥、出してくださいっ♥明穂の顔とおっぱいにぶちまけてっ♥♥！」,「んっ♥、出してくださいっ♥明穂の顔とおっぱいにぶちまけてっ♥♥！」,「嗯♥，請射出來吧♥，噴在明穗的臉上和胸部上♥♥！」,"""Ngh♥ Please com♥ Spray it all over my face and boobs♥♥!""","「응읏♥, 싸주세요♥ 아키호 얼굴과 가슴에 뿌려줘♥♥!」",「嗯♥，请射出来吧♥，喷在明穗的脸上和胸部上♥♥！」
,,,,,,,
Record.AkihoPaizuri-25,,そして戦闘員のチンポから明穂の眼前に精液が放たれる,そして戦闘員のチンポから明穂の眼前に精液が放たれる,接著精液從戰鬥員的雞巴噴向明穗的眼前。,Then semen shot out from the soldier's cock right before Akiho's eyes.,그리고 전투원의 자지에서 아키호 눈앞에 정액이 방출된다,接着精液从战斗员的鸡巴喷向明穗的眼前。
,Record akiho paizuri３,,,,,,
Record.AkihoPaizuri-26,,ドプッ、ビュルルルッルッ！,ドプッ、ビュルルルッルッ！,咚噗、咻嚕嚕嚕嚕！,"Splurt, spurrrrt!","도풋, 뷰르르르릇르릇!",咚噗、咻噜噜噜噜！
,,,,,,,
Record.AkihoPaizuri-27,明穂,「あんっ♥、ザーメンきたあっ♥♥！」,「あんっ♥、ザーメンきたあっ♥♥！」,「啊♥，精液來啦♥♥！」,"""Ahn♥ Here comes the semen♥♥!""","「아앙♥, 정액 왔다아♥♥!」",「啊♥，精液来啦♥♥！」
,,,,,,,
Record.AkihoPaizuri-28,,「ふふっ♥凄い勢いっ♥、尿道に残った精液もこうやって♥」,「ふふっ♥凄い勢いっ♥、尿道に残った精液もこうやって♥」,「呵呵♥好大的衝力♥，尿道裡剩下的精液也要這樣♥」,"""Fufu♥ Such force♥ And now, the semen left in your urethra too, like this♥""","「후훗♥ 굉장한 기세♥, 요도에 남은 정액도 이렇게♥」",「呵呵♥好大的冲力♥，尿道里剩下的精液也要这样♥」
,,,,,,,
Record.AkihoPaizuri-29,,明穂は両乳を手で押して圧力を加え、戦闘員を最後まで射精へと促す,明穂は両乳を手で押して圧力を加え、戦闘員を最後まで射精へと促す,明穗用手擠壓兩側的乳房施加壓力，催促戰鬥員射精直到最後。,"Akiho pressed both breasts with her hands to apply pressure, urging the soldier to empty his sack fully.","아키호는 양 젖을 손으로 눌러 압력을 가하고, 전투원을 마지막까지 사정하도록 재촉한다",明穗用手挤压两侧的乳房施加压力，催促战斗员射精直到最后。
,,,,,,,
Record.AkihoPaizuri-30,,「ほらっ♥、精液全部だしてくださいっ♥」,「ほらっ♥、精液全部だしてくださいっ♥」,「快♥，把精液全部射出來吧♥」,"""Come on♥ Let out all your semen♥""","「자♥, 정액 전부 싸주세요♥」",「快♥，把精液全部射出来吧♥」
,,,,,,,
Record.AkihoPaizuri-31,戦闘員,「っ、ぐうっ！」,「っ、ぐうっ！」,「唔，嗚！」,"""Ugh, guuh!""","「윽, 크으윽!」",「唔，呜！」
,Record akiho paizuri4,,,,,,
Record.AkihoPaizuri-32,,ビュクッ、ドクッ,ビュクッ、ドクッ,咻、咚。,"Spurt, throb","뷰큣, 도큣",咻、咚。
,,,,,,,
Record.AkihoPaizuri-33,明穂,「ふふっ♥、沢山でましたねっ♥♥ごちそうさまでしたっ♥」,「ふふっ♥、沢山でましたねっ♥♥ごちそうさまでしたっ♥」,「呵呵♥，射了很多呢♥♥謝謝款待♥」,"""Fufu♥ So much came out♥♥ Thank you for the treat♥""","「후훗♥, 많이 나왔네요♥♥ 잘 먹었습니다♥」",「呵呵♥，射了很多呢♥♥谢谢款待♥」
,,,,,,,
Record.AkihoPaizuri-34,,「じゃあ次は待ってる皆さん……っ♥」,「じゃあ次は待ってる皆さん……っ♥」,「那接下來是在等候的各位……呀♥」,"""Now then, for everyone waiting...♥""",「그럼 다음 기다리는 여러분……♥」,「那接下来是在等候的各位……呀♥」
,,,,,,,
Record.AkihoPaizuri-35,,「みんな明穂がザーメン抜いてあげますからっ♥順番に並んでくださいっ♥」,「みんな明穂がザーメン抜いてあげますからっ♥順番に並んでくださいっ♥」,「大家，明穗會幫你們榨出精液的♥請排隊吧♥」,"""Akiho will milk everyone♥ Please line up♥""",「모두 아키호가 정액 빼드릴 테니까♥ 순서대로 줄 서주세요♥」,「大家，明穗会帮你们榨出精液的♥请排队吧♥」
,,,,,,,
Record.AkihoPaizuri-36,戦闘員,「ったく、あれだけ動いてたのにすげえ体力だなっ」,「ったく、あれだけ動いてたのにすげえ体力だなっ」,「真是的，都已經動了那麼久，體力還真驚人啊」,"""Geez, after moving that much, what incredible stamina!""","「정말, 저렇게 움직였는데 굉장한 체력이네」",「真是的，都已经动了那么久，体力还真惊人啊」
,,,,,,,
Record.AkihoPaizuri-37,,「ふふっ♥明穂は聖核戦姫からおっぱい怪人になったのでっ♥！」,「ふふっ♥明穂は聖核戦姫からおっぱい怪人になったのでっ♥！」,「呵呵♥明穗是從聖核戰姬變成胸部怪人的♥！」,"""Fufu♥ I went from Holy Core Battlemaiden to breast fiend♥""",「후훗♥ 아키호는 성핵전희에서 가슴 괴인이 되었으니까♥!」,「呵呵♥明穗是从圣核战姬变成胸部怪人的♥！」
,,,,,,,
Record.AkihoPaizuri-38,,「パイズリには自信がありますからっ♥♥、皆さん精液沢山絞っちゃいますっ♥」,「パイズリには自信がありますからっ♥♥、皆さん精液沢山絞っちゃいますっ♥」,「對乳交很有自信♥♥，會把大家的精液都榨乾的♥」,"""I'm confident in my titfuck♥♥ I'll squeeze out lots of semen from everyone♥""","「파이즈리에는 자신이 있으니까요♥♥, 여러분 정액 잔뜩 짜낼게요♥」",「对乳交很有自信♥♥，会把大家的精液都榨干的♥」
,,,,,,,
Record.AkihoPaizuri-39,,明穂は胸で何人もの戦闘員を果てさせ、事後は戦闘員に母乳を搾り取られるのだった,明穂は胸で何人もの戦闘員を果てさせ、事後は戦闘員に母乳を搾り取られるのだった,明穗用胸部讓好幾位戰鬥員射到高潮，事後胸部裡的母乳則被戰鬥員搾取出來。,"Akiho made many soldiers climax with her breasts, and afterwards the soldiers milked her breast milk.","아키호는 가슴으로 여러 명의 전투원을 절정 시키고, 일이 끝난 후에는 전투원에게 모유를 짜이는 것이었다",明穗用胸部让好几位战斗员射到高潮，事后胸部里的母乳则被战斗员搾取出来。
,,,,,,,
Record Akiho ＆　Rikka,注釈,エンドコンテンツ明穂＆六花,エンドコンテンツ明穂＆六花,,,엔드 콘텐츠 아키호＆릿카,
Record.Final,,【最後の二人の聖核戦姫】,【最後の二人の聖核戦姫】,最後兩位聖核戰姬,[The Last Two Holy Core Battlemaidens],【마지막 두 명의 성핵전희】,【圣核战姬最后的两人】
Record.Final-1,,聖核戦姫が敗北し、生徒会が完全に制圧してからしばらくして,聖核戦姫が敗北し、レギオンが完全に陥落してからしばらくして,聖核戰姬戰敗，聖核軍團完全淪陷後過了一段時間。,Some time after the Holy Core Battlemaidens were defeated and the Legion completely fell...,"성핵전희가 패배하고, 레기온이 완전히 함락된 후 얼마 지나지 않아",圣核战姬战败，圣核军团完全沦陷后过了一段时间。
,背景　街中の横断歩道,,,,,,
Record.Final-2,戦闘員,「オラオラオラッ！」,「オラオラオラッ！」,「喂！喂！喂！」,"""Ora ora ora!""",「자자자!」,「喂！喂！喂！」
,,,,,,,
Record.Final-3,,街中で財団の戦闘員が暴れまわる,街中で財団の戦闘員が暴れまわる,財團的戰鬥員在街上橫行霸道。,Foundation soldiers rampaged through the city.,거리에서 재단의 전투원이 날뛰고 있다,财团的战斗员在街上横行霸道。
,,,,,,,
Record.Final-4,戦闘員,「ははっ、もう聖核戦姫はいねえからなっ、好きに暴れさせてもらうぜっ！」,「ははっ、もう聖核戦姫はいねえからなっ、好きに暴れさせてもらうぜっ！」,「哈哈，聖核戰姬已經沒啦，讓我們盡情地搗亂吧！」,"""Haha, there are no more Holy Core Battlemaidens, so we can do whatever we want!""","「하핫, 이제 성핵전희는 없으니까! 마음껏 날뛰게 해주마!」",「哈哈，圣核战姬已经没啦，让我们尽情地捣乱吧！」
,,,,,,,
Record.Final-5,,その時戦闘員の前に二人の少女が現れる,その時戦闘員の前に二人の少女が現れる,這時，兩名少女出現在戰鬥員面前。,Two girls appeared before the soldiers.,그때 전투원 앞에 두 명의 소녀가 나타난다,这时，两名少女出现在战斗员面前。
,,,,,,,
Record.Final-6,明穂,「フォーレン財団の戦闘員ッ！そこまでよっ！」,「フォーレン財団の戦闘員ッ！そこまでよっ！」,「墮落財團的戰鬥員！到此為止！」,"""Forren Foundation soldiers! That's enough!""",「폴른 재단의 전투원! 거기까지야!」,「堕落财团的战斗员！到此为止！」
,,,,,,,
Record.Final-7,六花,「街中での破壊行為……私達が許さない！」,「街中での破壊行為……私達が許さない！」,「在街上破壞的行為……我們絕不容許！」,"""Destruction in the city... We won't allow it!""",「거리 한복판에서 파괴 행위를 벌이다니…… 절대 용서 못 해!」,「在街上破坏的行为……我们绝不容许！」
,,,,,,,
Record.Final-8,戦闘員,「ああ？なんだぁ？聖核戦姫は全員負けて捕らえられたはずだが？」,「ああ？なんだぁ？聖核戦姫は全員負けて捕らえられたはずだが？」,「啊？搞什麼？聖核戰姬應該全都輸了被抓起來才對啊？」,"""Huh? What's this? All the Holy Core Battlemaidens should have been defeated and captured?""",「아아? 뭐야? 성핵전희는 전원 패배해서 잡혔을 텐데?」,「啊？搞什么？圣核战姬应该全都输了被抓起来才对啊？」
,,,,,,,
Record.Final-9,明穂,「っ、聖核戦姫は…負けないからっ！」,「っ、聖核戦姫は…負けないからっ！」,「聖核戰姬是…不會輸的！」,"""Holy Core Battlemaidens... don't lose!""","「윽, 성핵전희는… 지지 않으니까!」",「唔，圣核战姬是…不会输的！」
,,,,,,,
Record.Final-10,六花,「そう……私達は絶対諦めない！」,「そう……私達は絶対諦めない！」,「沒錯……我們絕不放棄！」,"""That's right... We'll never give up!""",「그래…… 우리는 절대 포기하지 않아!」,「没错……我们绝不放弃！」
,,,,,,,
Record.Final-11,戦闘員,「何を言ってるのか分からねえが…いいぜ、相手してやるよ」,「何を言ってるのか分からねえが…いいぜ、相手してやるよ」,「不知道妳們在說什麼，算了，我就陪妳們玩玩吧。」,"""I don't know what you're talking about... but fine, we'll take you on.""","「무슨 말 하는지 모르겠지만… 좋아, 상대해주지」",「不知道你们在说什么，算了，我就陪你们玩玩吧。」
,,,,,,,
Record.Final-12,明穂,「っ、手加減しないからっ！」,「っ、手加減しないからっ！」,「唔，我可不會手下留情！」,"""We won't hold back!""","「윽, 봐주지 않을 거야!」",「唔，我可不会手下留情！」
,,,,,,,
Record.Final-13,六花,「ただの戦闘員が聖核戦姫に勝てるわけがない！行くよッ！」,「ただの戦闘員が聖核戦姫に勝てるわけがない！行くよッ！」,「區區戰鬥員怎麼可能贏過聖核戰姬！上！」,"""Mere soldiers could never beat Holy Core Battlemaidens! Let's go!""",「단순한 전투원이 성핵전희에게 이길 수 있을 리 없어! 간다!」,「区区战斗员怎么可能赢过圣核战姬！上！」
,,,,,,,
Record.Final-14,,―――――1分後,―――――1分後,―――――一分鐘後,...One minute later,―――――1분 후,―――――一分钟后
,Record akiho＆rikka1,,,,,,
Record.Final-15,,明穂と六花はあっさりと戦闘員に敗北し、捕らえられていた,明穂と六花はあっさりと戦闘員に敗北し、捕らえられていた,明穗和六花輕易地敗給戰鬥員，被抓了起來。,Akiho and Rikka were easily defeated by the soldiers and captured.,"아키호와 릿카는 간단히 전투원에게 패배하여, 붙잡혀 있었다",明穗和六花轻易地败给战斗员，被抓了起来。
,,,,,,,
Record.Final-16,明穂,「ちょ、ちょっと六花！なんでこんな簡単に負けてるのっ！？」,「ちょ、ちょっと六花！なんでこんな簡単に負けてるのっ！？」,「不、是吧，六花！為什麼會這麼簡單就輸了！」,"""W-wait, Rikka! Why did we lose so easily?!""","「저, 잠깐 릿카! 왜 이렇게 간단히 지는 거야!?」",「喂、喂六花！为什么会这么简单就输了！」
,,,,,,,
Record.Final-17,六花,「っ、明穂こそっ！ほとんど戦ってないし抵抗してなかった！」,「っ、明穂こそっ！ほとんど戦ってないし抵抗してなかった！」,「唔，明穗妳才是！幾乎沒戰鬥也沒抵抗！」,"""You're the one, Akiho! You barely fought or resisted!""","「윽, 아키호야말로! 거의 싸우지도 않고 저항도 안 했잖아!」",「唔，明穗你才是！几乎没战斗也没抵抗！」
,,,,,,,
Record.Final-18,明穂,「そんなこと言ったって…六花早く何とかして！」,「そんなこと言ったって…六花早く何とかして！」,「話是這麼說…六花快想辦法！」,"""Even if you say that... Rikka, hurry and do something!""",「그런 말 해도… 릿카 빨리 어떻게 좀 해봐!」,「话是这么说…六花快想办法！」
,,,,,,,
Record.Final-19,六花,「何とかって…もうこうなったら私でも……」,「何とかって…もうこうなったら私でも……」,「想辦法…事到如今連我也……」,"""Do something... At this point, even I can't...""",「어떻게든이라니… 이제 이렇게 되면 나라도……」,「想办法…事到如今连我也……」
,,,,,,,
Record.Final-20,戦闘員,「ははっ、何かと思ったらクソ弱いじゃねえか、一体何しに出てきたんだ？」,「ははっ、何かと思ったらクソ弱いじゃねえか、一体何しに出てきたんだ？」,「哈哈，本以為是什麼狠角色，結果這麼弱啊，到底是出來幹什麼的？」,"""Haha, I thought you were something special but you're weak as hell. What did you even come out here for?""","「하핫, 뭔가 했더니 엄청 약하잖아, 대체 뭘 하러 나온 거야?」",「哈哈，本以为是什么狠角色，结果这么弱啊，到底是出来干什么的？」
,,,,,,,
Record.Final-21,明穂,「っ、馬鹿にして……」,「っ、馬鹿にして……」,「竟然瞧不起我們……」,"""Don't mock us...""","「윽, 바보 취급하지 마……」",「唔，竟然把我当成笨蛋……」
,,,,,,,
Record.Final-22,六花,「っ、聖核戦姫は絶対に諦めないっ！」,「っ、聖核戦姫は絶対に諦めないっ！」,「聖核戰姬是絕對不會放棄的！」,"""Holy Core Battlemaidens never give up!""","「윽, 성핵전희는 절대로 포기하지 않아!」",「唔，圣核战姬是绝对不会放弃的！」
,,,,,,,
Record.Final-23,戦闘員,「それとも……お前らコレが欲しくてノコノコ出てきたんじゃねえか？」,「それとも……お前らコレが欲しくてノコノコ出てきたんじゃねえか？」,「還是說…妳們是想要這個才特地跑出來的？」,"""Or maybe... you came crawling out here because you wanted this?""",「아니면…… 너희들 이게 갖고 싶어서 뽈뽈 나온 거 아니야?」,「还是说…你们是想要这个才特地跑出来的？」
,Record akiho＆rikka２,,,,,,
Record.Final-24,,そう言うと戦闘員はスーツから男根を取り出し、二人に見せつける,そう言うと戦闘員はスーツから男根を取り出し、二人に見せつける,戰鬥員說著，從制服裡掏出陰莖，向兩人展示。,"Saying that, the soldier whipped out his manhood from his suit and showed it to the duo.","그렇게 말하며 전투원은 슈트에서 남근을 꺼내, 두 사람에게 보여준다",战斗员说着，从制服里掏出阴茎，向两人展示。
,,,,,,,
Record.Final-25,明穂,「…………っ♥！！」,「…………っ♥！！」,「…………♥！！」,"""......♥!!""",「…………윽♥!!」,「…………唔♥！！」
,,,,,,,
Record.Final-26,六花,「……っ♥♥！！！」,「……っ♥♥！！！」,「……♥♥！！！」,"""...♥♥!!!""",「……윽♥♥!!!」,「……唔♥♥！！！」
,,,,,,,
Record.Final-27,戦闘員,「お？、そんなに見つめやがって、図星みてえだなぁ？」,「お？、そんなに見つめやがって、図星みてえだなぁ？」,「哦？這樣盯著看，看來被我說中了呢？」,"""Oh? Staring at it that much, looks like I hit the mark?""","「오?, 그렇게 쳐다보다니, 정곡을 찔렀나?」",「哦？这样盯着看，看来被我说中了呢？」
,,,,,,,
Record.Final-28,明穂,「っ、六花何とかしてっ♥、じゃないと私達戦闘員の極太チンポハメられちゃう……！」,「っ、六花何とかしてっ♥、じゃないと私達戦闘員の極太チンポハメられちゃう……！」,「六花想想辦法啊♥，不然我們就要被戰鬥員的粗大陰莖插進去了……！」,"""Rikka, do something♥ Otherwise we'll get fucked by the soldier's thick cock...!""","「윽, 릿카 어떻게 좀 해봐♥, 안 그러면 우리 전투원의 왕자지에 박혀버렷……!」",「唔，六花想办法啊♥，不然我们就要被战斗员的粗大鸡巴插进去了……！」
,,,,,,,
Record.Final-29,六花,「それなら明穂も見てないで少しは抵抗してよっ♥期待してるみたいじゃんっ♥」,「それなら明穂も見てないで少しは抵抗してよっ♥期待してるみたいじゃんっ♥」,「那明穗妳也別光看著抵抗一下啊♥，妳看起來很期待嘛♥」,"""Then Akiho, stop staring and resist a little♥ You look like you're expecting it♥""",「그렇다면 아키호도 보고만 있지 말고 조금은 저항해♥ 기대하는 것 같잖아♥」,「那明穗你也别光看着抵抗一下啊♥看起来你很期待嘛♥」
,,,,,,,
Record.Final-30,戦闘員,「ははっ、待ちきれないみたいだなっ、じゃあ期待に応えてやるよっ！」,「ははっ、待ちきれないみたいだなっ、じゃあ期待に応えてやるよっ！」,「哈哈，看來等不及了呢，那就滿足妳們的期待吧！」,"""Haha, looks like you can't wait, so I'll meet your expectations!""","「하핫, 기다릴 수 없는 모양이네, 그럼 기대에 부응해주지!」",「哈哈，看来等不及了呢，那就满足你们的期待吧！」
,,,,,,,
Record.Final-31,Record akiho＆rikka3,ズボッッ！！,ズボッッ！！,滋！！,Thrust!,즈봇!!,滋！！
,,,,,,,
Record.Final-32,明穂＆六花,「「ひあっ♥、チンポきたあッ～～～～ッ♥♥！」」,「「ひあっ♥、チンポきたあッ～～～～ッ♥♥！」」,「呀♥，陰莖來了啊～～～～♥！」,"""Hyaa♥ Here comes the cock♥""","「「히앗♥, 자지 왔다앗~~~~~읏♥♥!」」",「呀♥，鸡巴来了啊～～～～♥！」
,,,,,,,
Record.Final-33,,チンポが挿入されると同時に明穂と六花から嬌声が上がる,チンポが挿入されると同時に明穂と六花から嬌声が上がる,陰莖插入的同時，明穗和六花發出嬌聲。,Cries of pleasure rose from Akiho and Rikka the moment the cock was inserted.,자지가 삽입됨과 동시에 아키호와 릿카에게서 교성이 터져 나온다,鸡巴插入的同时，明穗和六花发出娇声。
,Record akiho＆rikka４,,,,,,
Record.Final-34,,ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch!,도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！
,,,,,,,
Record.Final-35,明穂,「お゛っ♥、お゛っ♥、お゛っ♥、戦闘員の極太チンポっ♥、やばいっ♥♥♥！」,「お゛っ♥、お゛っ♥、お゛っ♥、戦闘員の極太チンポっ♥、やばいっ♥♥♥！」,「喔♥，喔♥，喔♥，戰鬥員的粗大陰莖♥，太棒了♥♥♥！」,"""Oh♥ Oh♥ Oh♥ The soldier's thick cock♥ It's too much♥♥♥!""","「오옷 옷♥, 오옷 옷♥, 오옷 옷♥, 전투원의 왕자지♥, 위험해♥♥♥!」",「喔♥，喔♥，喔♥，战斗员的粗大鸡巴♥，太棒了♥♥♥！」
,,,,,,,
Record.Final-36,六花,「おまんこっ、深い所までっ♥、えぐれてるっ♥」,「おまんこっ、深い所までっ♥、えぐれてるっ♥」,「小穴，被插到深處♥，好用力♥」,"""My pussy, so deep♥ It's being gouged out♥""","「보지♥, 깊은 곳까지♥, 파고들어와♥」",「小穴，被插到深处♥，好用力♥」
,,,,,,,
Record.Final-37,戦闘員,「やっぱりわざわざオナホになりに来たんじゃねえか！この淫乱女共がっ！」,「やっぱりわざわざオナホになりに来たんじゃねえか！この淫乱女共がっ！」,「果然是特地跑來當自慰套的嘛！這群淫亂女人！」,"""So you did come here just to become sex toys! You sluts!""",「역시 일부러 오나홀 되러 온 거 아니야! 이 음란한 년들이!」,「果然是特地跑来当自慰套的嘛！这群淫乱女人！」
,,,,,,,
Record.Final-38,,ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch!,도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！
,,,,,,,
Record.Final-39,明穂,「んお゛っ♥、ちっ、違うのっ、たとえ勝てなくても立ち向かうのが聖核戦姫なのっ♥♥」,「んお゛っ♥、ちっ、違うのっ、たとえ勝てなくても立ち向かうのが聖核戦姫なのっ♥♥」,「嗯喔♥，才、才不是♥，就算贏不了，也要挺身而出才是聖核戰姬啊♥♥」,"""Noh♥ N-no, that's not it, Holy Core Battlemaidens face challenges even if we can't win♥♥""","「응오옷 옷♥, 다, 달라, 설령 이길 수 없어도 맞서는 것이 성핵전희야♥♥」",「嗯喔♥，才、才不是♥，就算赢不了，也要挺身而出才是圣核战姬啊♥♥」
,,,,,,,
Record.Final-40,六花,「そうっ♥、たとえ即負け即ハメでもっ♥、心はまだ負けてないからっ♥！」,「そうっ♥、たとえ即負け即ハメでもっ♥、心はまだ負けてないからっ♥！」,「沒錯♥，就算立刻輸了立刻被插♥，內心也還沒輸♥！」,"""That's right♥ Even if we instantly lose and get fucked♥ Our hearts haven't lost yet♥!""","「그래♥, 설령 즉시 패배 즉시 박혀도♥, 마음은 아직 지지 않았으니까♥!」",「没错♥，就算立刻输了立刻被插♥，内心也还没输♥！」
,,,,,,,
Record.Final-41,明穂,「お゛っ♥、お゛っ♥、ん゛っ♥、聖核戦姫をっ♥ナメないでっ♥！」,「お゛っ♥、お゛っ♥、ん゛っ♥、聖核戦姫をっ♥ナメないでっ♥！」,「喔♥，喔♥，嗯♥，別小看聖核戰姬♥！」,"""Oh♥ Oh♥ Ngh♥ Don't underestimate♥ Holy Core Battlemaidens♥!""","「오옷 옷♥, 오옷 웃♥, 응읏♥, 성핵전희를♥ 얕보지 마♥!」",「喔♥，喔♥，嗯♥，别小看圣核战姬♥！」
,,,,,,,
Record.Final-42,六花,「敗北レイプされてもっ♥、最後に勝つのは私達っ♥！」,「敗北レイプされてもっ♥、最後に勝つのは私達っ♥！」,「就算是被敗北PLAY♥，最後勝利的還是我們♥！」,"""Even if we're violated during defeat♥ We'll win in the end♥!""","「패배 강간당해도♥, 마지막에 이기는 건 우리야♥!」",「就算失败被强奸♥，最后胜利的还是我们♥！」
,,,,,,,
Record.Final-43,,ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch!,도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！
,,,,,,,
Record.Final-44,戦闘員,「ははっ、雑魚のくせに口先だけはいっちょ前だなっ！」,「ははっ、雑魚のくせに口先だけはいっちょ前だなっ！」,「哈哈，區區雜魚嘴皮子倒是挺厲害的嘛！」,"""Haha, for small fry, you sure talk big!""","「하핫, 잡것 주제에 말만 번지르르하네!」",「哈哈，区区杂鱼嘴皮子倒是挺厉害的嘛！」
,,,,,,,
Record.Final-45,明穂,「お゛っ♥、お゛うっ♥、んっ♥イクッ♥♥」,「お゛っ♥、お゛うっ♥、んっ♥イクッ♥♥」,「喔♥，喔♥，嗯♥要高潮了♥♥」,"""Oh♥ Ohh♥ Ngh♥ I'm coming♥♥""","「오옷 옷♥, 오옷 웃♥, 응읏♥ 가버렷♥♥」",「喔♥，喔♥，嗯♥要高潮了♥♥」
,,,,,,,
Record.Final-46,六花,「お゛っ♥、戦闘員チンポッ、強すぎるっ♥」,「お゛っ♥、戦闘員チンポッ、強すぎるっ♥」,「喔♥，戰鬥員的陰莖♥，太強了♥」,"""Oh♥ A soldier's cock... Too strong♥""","「오옷 옷♥, 전투원 자지♥, 너무 강해♥」",「喔♥，战斗员鸡巴♥，太强了♥」
,,,,,,,
Record.Final-47,明穂,「お゛っ♥、六花っ、このままだと私達っ♥おまんこに中出しされちゃうよっ♥」,「お゛っ♥、六花っ、このままだと私達っ♥おまんこに中出しされちゃうよっ♥」,「喔♥，六花♥，這樣下去我們會被中出到小穴裡喔♥」,"""Oh♥ Rikka, at this rate we'll♥ get creampied♥""","「오옷 옷♥, 릿카, 이대로는 우리♥ 보지에 안에 싸게 될 거야♥」",「喔♥，六花♥，这样下去我们会被中出到小穴里喔♥」
,,,,,,,
Record.Final-48,六花,「んっ♥、わかってるっ♥、でもっ♥、チンポから逃げられないッ♥」,「んっ♥、わかってるっ♥、でもっ♥、チンポから逃げられないッ♥」,「嗯♥，我知道♥。但♥，逃不開陰莖了！」,"""Ngh♥ I know♥ But♥ I can't escape from the cock♥""","「응읏♥, 알고 있어♥, 하지만♥, 자지로부터 도망칠 수 없어♥」",「嗯♥，我知道♥，但♥，逃不开鸡巴了！」
,,,,,,,
Record.Final-49,,二人の聖核戦姫にはもはや抵抗する気力は残っていなかった,二人の聖核戦姫にはもはや抵抗する気力は残っていなかった,兩位聖核戰姬已沒有抵抗的力氣。,The two Holy Core Battlemaidens no longer had any willpower left to resist.,두 명의 성핵전희에게는 이제 저항할 기력은 남아 있지 않았다,两位圣核战姬已没有抵抗的力气。
,,,,,,,
Record.Final-50,戦闘員,「あ？聖核戦姫は負けねえんじゃなかったのか？」,「あ？聖核戦姫は負けねえんじゃなかったのか？」,「啊？聖核戰姬不是不會輸的嗎？」,"""Huh? I thought Holy Core Battlemaidens never lose?""",「아? 성핵전희는 지지 않는다며?」,「啊？圣核战姬不是不会输的吗？」
,,,,,,,
Record.Final-51,,そう言うと戦闘員は更に腰の動きを激しくし、二人をオナホのように使っていく,そう言うと戦闘員は更に腰の動きを激しくし、二人をオナホのように使っていく,戰鬥員說著，腰部的動作更猛烈，將兩人當作自慰套使用。,"Saying that, the soldier moved his hips even more intensely, using the two like sex toys.","그렇게 말하며 전투원은 더욱 허리 움직임을 격렬하게 하여, 두 사람을 오나홀처럼 사용해간다",战斗员说着，腰部的动作更猛烈，将两人当作自慰套使用。
,,,,,,,
Record.Final-52,,ドチュッ！ドチュッ！ドチュッ！,ドチュッ！ドチュッ！ドチュッ！,咚啾！咚啾！咚啾！,Squelch! Squelch! Squelch!,도츗! 도츗! 도츗!,咚啾！咚啾！咚啾！
,,,,,,,
Record.Final-53,明穂,「お゛っ♥、お゛っ♥、お゛おっ～～♥♥イクッ♥」,「お゛っ♥、お゛っ♥、お゛おっ～～♥♥イクッ♥」,「喔♥，喔♥，喔喔～～♥♥要高潮了♥」,"""Oh♥ Oh♥ Ohhh♥♥ I'm coming♥""","「오옷 옷♥, 오옷 옷♥, 오옷 오옷~~♥♥ 가버렷♥」",「喔♥，喔♥，喔喔～～♥♥要高潮了♥」
,,,,,,,
Record.Final-54,六花,「私達はっ♥、お゛っ♥、絶対負けないっ♥！」,「私達はっ♥、お゛っ♥、絶対負けないっ♥！」,「我們♥，喔♥，絕對不會輸的♥！」,"""We'll♥ Oh♥ Never lose♥!""","「우리는♥, 오옷 옷♥, 절대 지지 않아♥!」",「我们♥，喔♥，绝对不会输的♥！」
,,,,,,,
Record.Final-55,戦闘員,「はっ、そろそろ出してやるっ、これで終わりだっ！」,「はっ、そろそろ出してやるっ、これで終わりだっ！」,「哈，差不多該射了，就到此為止吧！」,"""Ha, I'm gonna cum soon, this is the end!""","「핫, 슬슬 싸주마, 이걸로 끝이다!」",「哈，差不多该射了，就到此为止吧！」
,,,,,,,
Record.Final-56,明穂,「お゛っ♥、ま、負けないッ、聖核戦姫はチンポなんかにっ♥」,「お゛っ♥、ま、負けないッ、聖核戦姫はチンポなんかにっ♥」,「喔♥，不、不會輸的，聖核戰姬才不會輸給陰莖♥」,"""Oh♥ W-we won't lose, a cock is not going to defeat us Holy Core Battlemaidens♥""","「오옷 옷♥, 자, 지지 않아, 성핵전희는 자지 따위에♥」",「喔♥，不、不会输的，圣核战姬才不会输给鸡巴♥」
,,,,,,,
